cell,delta_anchor,iid_ci_low,iid_ci_high,iid_p_one_sided_observed,iid_p_two_sided,block_L5_ci_low,block_L5_ci_high,block_L5_ci_width_ratio_vs_iid,block_L5_p_two_sided,block_L5_p_one_sided_observed,block_L5_holm_two_sided,block_L5_holm_one_sided_compat,block_L10_ci_low,block_L10_ci_high,block_L10_ci_width_ratio_vs_iid,block_L10_p_two_sided,block_L10_p_one_sided_observed,block_L10_holm_two_sided,block_L10_holm_one_sided_compat,zero_containment_changed
Clean,-85.80659999999997,-89.90061183333334,-81.78514808333333,9.99990000099999e-06,1.999980000199998e-05,-89.76473083333335,-83.81979466666665,0.7325442328131501,0.03112968870311297,0.015079849201507985,n/a,n/a,-88.02365649999999,-84.39869649999997,0.4466731799522865,0.25166748332516675,0.12676873231267688,n/a,n/a,False
P1 lag k=10,965.0869299999998,943.0878263333332,986.5149988333332,9.99990000099999e-06,1.999980000199998e-05,956.0972743333331,983.6395884999998,0.6342184531278606,0.03096969030309697,0.015179848201517986,0.12387876121238788,0.06071939280607194,961.78775,978.8704921666667,0.39336528682973276,0.24883751162488374,0.12393876061239388,0.7465125348746512,0.37181628183718163,False
P2 tail alpha=1.5,-105.97858333333333,-113.13405808333333,-98.6716270833333,9.99990000099999e-06,1.999980000199998e-05,-111.78296066666667,-101.75473449999997,0.6933983758793167,0.031879681203187966,0.015909840901590984,0.12387876121238788,0.06071939280607194,-110.01542666666664,-102.96821691666666,0.48727698337851827,0.25080749192508073,0.12596874031259686,0.7465125348746512,0.37181628183718163,False
P3 bucket-flip epsilon=0.05,-91.00162666666667,-95.40855874999998,-86.82156583333331,9.99990000099999e-06,1.999980000199998e-05,-96.24900825,-88.90008266666665,0.8558206178404633,0.031029689703102967,0.015209847901520985,0.12387876121238788,0.06071939280607194,-95.2493675,-89.98340666666664,0.6132485358305761,0.2519874801251987,0.12612873871261288,0.7465125348746512,0.37181628183718163,False
