cell,acf_lag_1,acf_lag_2,acf_lag_3,acf_lag_4,acf_lag_5,acf_lag_6,acf_lag_7,acf_lag_8,acf_lag_9,acf_lag_10,lb5_statistic,lb5_p,lb10_statistic,lb10_p
Clean,0.24316620857407506,-0.31885901342431633,-0.1842848601628428,-0.15825728460551064,-0.03617311518569543,0.10130792433252847,-0.15846148053383952,-0.18479983719902535,0.0956571021222934,0.07941673767202605,7.625762958176384,0.17810240776148137,11.295626065742745,0.334954631764976
P1 lag k=10,0.04324975871792255,-0.10230643608444409,-0.3690038267264853,-0.08102506229400742,-0.19954036856214316,0.1553493988750864,0.11505851239809835,0.0744987452733415,0.022942581597912806,-0.06941969532587686,7.03350729988173,0.21816023223518216,9.04896994229531,0.5274625496170682
P2 tail alpha=1.5,0.07679596328156212,-0.25721864966872765,-0.10332420547183148,-0.016547031475282633,-0.08169440687590193,-0.0988757937374105,0.034193391335313225,0.17045222286047412,0.17851231420195335,-0.13781065351727542,3.1096012009797986,0.683093022757125,7.185634404538045,0.7078114094324208
P3 bucket-flip epsilon=0.05,0.09383412111390785,-0.12559584499430623,0.03257961052532712,-0.12931556778274705,-0.04566595200945663,-0.06563407748613298,-0.02166381395974711,-0.2293981099115477,-0.01784244330050865,0.047715039552540056,1.5675694193357161,0.9051430732886518,4.179605687035148,0.9388810899328882
