M,action_dim,clean_deep_rm_mean,clean_source_tetris_mean,p3_deep_rm_mean,p3_source_tetris_mean,deg_mean,deg_ci_low,deg_ci_high,argmax_change_rate,mean_total_variation,mean_clean_argmax_probability_drop,clean_action_entropy,delta_clean_mean,delta_clean_ci_low,delta_clean_ci_high,delta_p3_mean,delta_p3_ci_low,delta_p3_ci_high,competency_wins,competency_p_one_sided,competency_gate_passed
10,11,35.55272326839827,59.80496425518927,36.23603820901321,59.80496425518927,0.6833149406149405,-0.40519070360195364,1.79244238504551,0.7522504609377825,0.3726797092393246,0.34378385370386677,1.2971908920614814,24.252240986790984,22.38316630570818,26.212259099650346,23.568926046176045,21.70417809204684,25.35404106587856,30,9.313225746154785e-10,True
3,4,71.49320625208125,81.64192930402932,71.02440073537575,81.64192930402932,-0.46880551670551446,-1.6730952090964553,0.6464104820179837,0.6336763024661114,0.31482503299944975,0.3115819365506505,0.6270949536208672,10.148723051948052,8.163993493381621,12.184738369200245,10.617528568653567,8.930040846375842,12.358621673049173,28,4.33996319770813e-07,True
1,2,110.41836157176157,109.2596867049617,91.04561188533688,109.2596867049617,-19.372749686424687,-23.61359854895105,-15.296516909826286,0.2281576448243115,0.2045156454542584,0.20451564526809812,0.044196921149949435,-1.158674866799871,-5.4799208747502535,2.9989953368159536,18.21407481962482,16.14208758775946,20.293584888791752,15,0.572232224047184,False
