cell,rossi_mean_total_cost,hpa_v2_mean_total_cost,delta_hpa_v2_minus_rossi,ci_low,ci_high,p_two_sided,p_one_sided_observed,block_L10_ci_low,block_L10_ci_high,block_L10_p_two_sided,block_L10_holm_two_sided,block_L10_holm_one_sided_observed,outcome
Clean,204.0891,172.53150000000002,-31.557599999999972,-36.37235766666664,-26.799975583333303,1.999980000199998e-05,9.99990000099999e-06,-35.24563666666664,-27.896814166666637,0.25166748332516675,0.995350046499535,0.4957550424495755,HPA-v2 dominates Rossi
P1 lag k=10,150.60737000000003,173.63400000000001,23.026630000000022,18.77950583333335,27.16418416666669,1.999980000199998e-05,9.99990000099999e-06,20.40803666666669,25.227013333333357,0.24883751162488374,0.995350046499535,0.4957550424495755,H_P1a
P2 tail alpha=1.5,224.98108333333332,172.5615,-52.41958333333332,-59.986155333333315,-45.03260683333333,1.999980000199998e-05,9.99990000099999e-06,-56.864360499999975,-47.71046666666666,0.25080749192508073,0.995350046499535,0.4957550424495755,HPA-v2 dominates Rossi
P3 bucket-flip epsilon=0.05,209.28412666666665,172.53150000000002,-36.752626666666636,-41.71122591666664,-32.51626266666663,1.999980000199998e-05,9.99990000099999e-06,-40.03728999999997,-35.10419666666663,0.2519874801251987,0.995350046499535,0.4957550424495755,HPA-v2 dominates Rossi
