scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,first_start_time,last_completion_time,elapsed_seconds
dynamic_partition,0,10000000,5001,90265,-3137.9528600001604,62746.507898420314,43835.0,175443.0,62746.50789842352,123813964.0,0.0,123813964.0,81.20647478103638
learn,0,10000000,5001,142821,-3043.419490000149,60856.21855628874,41094.0,175759.0,60856.21855629172,123801238.0,0.0,123801238.0,524.5594110488892
