scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,first_start_time,last_completion_time,elapsed_seconds
dynamic_partition,0,10000000,21,368,-6.586889999999997,31366.14285714286,24039.0,65936.0,31366.14285714284,586045.0,0.0,586045.0,0.2589871883392334
learn,0,10000000,21,495,-6.614929999999996,31499.666666666668,25263.0,65483.0,31499.666666666646,583273.0,0.0,583273.0,1.6881988048553467
