curve,magnitude,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_partition_minus_decima,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,source_json,holm_less_curve,holm_greater_curve
p1_lag,0.0,64790.898507462676,62676.04709784411,2114.8514096185745,1197.3115961857377,3124.285771144279,0.999980000199998,2.999970000299997e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_0_0.json,1.0,5.999940000599994e-05
p1_lag,0.25,172407.90306827705,185712.86756988574,-13304.964501608618,-19832.977771524453,-6168.269500602596,0.00043999560004399956,0.999570004299957,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_0_25.json,0.0026399736002639972,0.999570004299957
p1_lag,0.5,577656.9710823932,470147.6112517902,107509.35983060309,63851.499215924734,153411.21666578559,0.999990000099999,1.999980000199998e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_0_5.json,1.0,5.999940000599994e-05
p1_lag,1.0,2121330.424079516,1406043.0062078931,715287.417871623,652674.3980922838,778857.4796876562,1.0,9.99990000099999e-06,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_1_0.json,1.0,5.999940000599994e-05
p1_lag,1.5,3742142.8193076933,2616503.1181801315,1125639.7011275617,1045966.2098657379,1208364.3381861409,1.0,9.99990000099999e-06,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_1_5.json,1.0,5.999940000599994e-05
p1_lag,2.0,5369708.292389897,3924902.99268198,1444805.2997079156,1343770.4787163164,1547006.5786427285,1.0,9.99990000099999e-06,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p1_lag_2_0.json,1.0,5.999940000599994e-05
p2_tail,0.0,59029.35953565505,57657.39320066335,1371.966334991708,620.1571310116088,2163.629817578772,0.999140008599914,0.0008699913000869992,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p2_tail_0_0.json,1.0,0.0033199668003319966
p2_tail,0.25,88260.00928689884,86960.49718076286,1299.5121061359876,-326.2890174129357,3271.3167122719715,0.9097209027909721,0.09028909710902891,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p2_tail_0_25.json,1.0,0.09028909710902891
p2_tail,0.5,140123.19170812605,131286.32985074626,8836.861857379767,1329.8552487562176,18016.60457296848,0.968220317796822,0.031789682103178965,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p2_tail_0_5.json,1.0,0.06357936420635793
p2_tail,0.75,205044.15174129352,185147.35572139305,19896.796019900492,7332.427922885574,35099.419639303465,0.999180008199918,0.0008299917000829991,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p2_tail_0_75.json,1.0,0.0033199668003319966
p2_tail,1.0,281470.187562189,240678.37810945275,40791.8094527363,19899.56834577115,64994.56466003316,0.999930000699993,7.999920000799993e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p2_tail_1_0.json,1.0,0.00039999600003999964
p3_fgsm,0.0,64789.170480928704,62698.1623548922,2091.008126036484,1252.3494651741298,3001.1630555555535,0.999990000099999,1.999980000199998e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_0.json,1.0,0.00011999880001199988
p3_fgsm,0.01,64840.57777777777,62817.08092868989,2023.496849087895,1153.8630721393035,3016.1388847429525,0.999970000299997,3.999960000399996e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_01.json,1.0,0.00011999880001199988
p3_fgsm,0.02,64924.623383084574,62762.062354892216,2162.5610281923714,1251.659684908789,3176.750111940296,0.999990000099999,1.999980000199998e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_02.json,1.0,0.00011999880001199988
p3_fgsm,0.05,64717.10878938641,62813.4696517413,1903.6391376451086,1095.625058043119,2796.6771558872315,0.999980000199998,2.999970000299997e-05,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_05.json,1.0,0.00011999880001199988
p3_fgsm,0.1,64599.128689883924,62891.47595356551,1707.652736318407,800.1791542288539,2688.6328358208957,0.999580004199958,0.00042999570004299955,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_1.json,1.0,0.0008599914000859991
p3_fgsm,0.2,64802.80995024876,63927.19104477612,875.6189054726373,135.15245439469288,1689.575713101163,0.980860191398086,0.01914980850191498,results/paper/experiments/e1_magnitude_sweep/decima/tables/decima_e1_p3_fgsm_0_2.json,1.0,0.01914980850191498
