lambda,exp,seed,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_partition_minus_decima
0.25,28,10000028,233884.41768254843,273394.25269574684,-39509.835013198404
0.25,29,10000029,136247.46744936364,152097.59878990852,-15850.131340544875
0.5,0,10000000,729060.6591900913,528833.1350000447,200227.5241900466
0.5,1,10000001,324075.6325802515,341437.42792190064,-17361.79534164915
0.5,2,10000002,739419.3221615392,582099.9741112236,157319.34805031563
0.5,3,10000003,205214.30983406142,273894.92343932093,-68680.61360525951
0.5,4,10000004,439162.03745905746,424950.03464345314,14212.002815604326
0.5,5,10000005,1002571.3958672414,672472.441951795,330098.9539154464
0.5,6,10000006,436654.4948482849,381298.9631527286,55355.5316955563
0.5,7,10000007,749728.2031175249,527423.4883262516,222304.71479127323
0.5,8,10000008,229783.07546348314,240214.9933149865,-10431.917851503356
0.5,9,10000009,1004152.5575234886,635244.1516472612,368908.4058762274
0.5,10,10000010,1049280.4652895164,683825.5394182601,365454.9258712563
0.5,11,10000011,457902.54267890996,403635.8690852338,54266.67359367618
0.5,12,10000012,568702.184942306,467680.0932712565,101022.09167104954
0.5,13,10000013,789407.5789695156,582761.302723626,206646.2762458896
0.5,14,10000014,327490.1408523998,331228.69551117066,-3738.5546587708523
0.5,15,10000015,501572.81248691195,427365.47587242315,74207.3366144888
0.5,16,10000016,352973.10727612465,363967.36862292484,-10994.261346800195
0.5,17,10000017,463848.4164511624,417783.1226426093,46065.293808553135
0.5,18,10000018,736497.5649419496,566760.7987026798,169736.76623926975
0.5,19,10000019,744088.7806097426,588626.0972648131,155462.68334492948
0.5,20,10000020,363428.92190921976,361925.1847970705,1503.737112149247
0.5,21,10000021,406430.01085497194,399536.80242892646,6893.208426045487
0.5,22,10000022,895608.611489957,643376.0453728004,252232.56611715653
0.5,23,10000023,339962.15142718266,360783.7280100032,-20821.576582820562
0.5,24,10000024,859099.8776681748,654128.1672054346,204971.71046274016
0.5,25,10000025,245443.17009547443,307525.76080008957,-62082.59070461514
0.5,26,10000026,625869.7160852195,549157.925017178,76711.79106804158
0.5,27,10000027,461812.02077013056,403702.9973129541,58109.02345717646
0.5,28,10000028,894061.0329069513,604968.71902736,289092.3138795913
0.5,29,10000029,386408.3367209531,377819.11095792486,8589.225763028255
1.0,0,10000000,2306896.1308621443,1493894.9396272423,813001.191234902
1.0,1,10000001,1716340.737133067,1226177.499789893,490163.2373431742
1.0,2,10000002,2334137.8221094646,1538658.9664029535,795478.8557065111
