key,seed_index,deep_rm_mean_slowdown,comparator_mean_slowdown,delta
deeprm:p1_lag:Tetris*:0,0,41.44017532467533,67.58478554778554,26.144610223110213
deeprm:p1_lag:Tetris*:0,1,44.208151348651356,65.87566017316017,21.667508824508815
deeprm:p1_lag:Tetris*:0,2,45.7534975024975,68.60868548118547,22.855187978687972
deeprm:p1_lag:Tetris*:0,3,46.17099558774558,60.091639360639356,13.920643772893776
deeprm:p1_lag:Tetris*:0,4,27.036267732267735,50.30752006327007,23.271252331002334
deeprm:p1_lag:Tetris*:0,5,34.739529220779225,68.39299558774559,33.65346636696636
deeprm:p1_lag:Tetris*:0,6,22.209374708624708,41.80478238428238,19.595407675657675
deeprm:p1_lag:Tetris*:0,7,39.71906252081252,63.603686230436224,23.884623709623703
deeprm:p1_lag:Tetris*:0,8,21.90331435231435,51.02312021312022,29.119805860805872
deeprm:p1_lag:Tetris*:0,9,46.295480352980356,69.56870895770895,23.273228604728594
deeprm:p1_lag:Tetris*:0,10,25.993184565434568,54.173575674325676,28.180391108891108
deeprm:p1_lag:Tetris*:0,11,16.120508241758245,30.063120546120544,13.9426123043623
deeprm:p1_lag:Tetris*:0,12,35.985627455877456,62.57283183483184,26.587204378954382
deeprm:p1_lag:Tetris*:0,13,43.79200058275058,71.1335347985348,27.341534215784215
deeprm:p1_lag:Tetris*:0,14,27.838513653013653,53.86914735264736,26.030633699633707
deeprm:p1_lag:Tetris*:0,15,31.55555611055611,59.147081085581085,27.591524975024974
deeprm:p1_lag:Tetris*:0,16,35.897800116550115,62.71488636363637,26.81708624708625
deeprm:p1_lag:Tetris*:0,17,17.899735764235764,42.495925407925405,24.59618964368964
deeprm:p1_lag:Tetris*:0,18,60.47180386280386,85.88719713619713,25.41539327339327
deeprm:p1_lag:Tetris*:0,19,36.78892132867133,54.433687312687304,17.644765984015976
deeprm:p1_lag:Tetris*:0,20,50.95389785214785,72.6759850982351,21.722087246087256
deeprm:p1_lag:Tetris*:0,21,28.195808691308685,51.71534299034299,23.519534299034305
deeprm:p1_lag:Tetris*:0,22,51.04709132534133,80.75323792873793,29.706146603396604
deeprm:p1_lag:Tetris*:0,23,47.170932234432236,59.731751831501825,12.560819597069589
deeprm:p1_lag:Tetris*:0,24,40.417093240093244,61.345469447219436,20.928376207126192
deeprm:p1_lag:Tetris*:0,25,19.529264901764904,47.03315767565768,27.503892773892773
deeprm:p1_lag:Tetris*:0,26,12.507855477855479,31.510836746586747,19.00298126873127
deeprm:p1_lag:Tetris*:0,27,35.66791533466534,74.31861671661673,38.65070138195139
deeprm:p1_lag:Tetris*:0,28,35.78571237096237,74.75043514818516,38.96472277722279
deeprm:p1_lag:Tetris*:0,29,32.67794072594072,56.961522560772565,24.283581834831843
deeprm:p1_lag:SJF:0,0,41.44017532467533,39.152175657675656,-2.2879996669996743
deeprm:p1_lag:SJF:0,1,44.208151348651356,40.1342002997003,-4.073951048951059
deeprm:p1_lag:SJF:0,2,45.7534975024975,45.96572610722611,0.21222860472860816
deeprm:p1_lag:SJF:0,3,46.17099558774558,43.04584224109224,-3.1251533466533417
deeprm:p1_lag:SJF:0,4,27.036267732267735,34.54387629037629,7.507608558108554
deeprm:p1_lag:SJF:0,5,34.739529220779225,44.45495279720279,9.715423576423568
deeprm:p1_lag:SJF:0,6,22.209374708624708,25.93461455211455,3.7252398434898417
deeprm:p1_lag:SJF:0,7,39.71906252081252,54.489246503496496,14.770183982683974
deeprm:p1_lag:SJF:0,8,21.90331435231435,28.18643506493507,6.283120712620718
deeprm:p1_lag:SJF:0,9,46.295480352980356,41.72643972693973,-4.569040626040625
deeprm:p1_lag:SJF:0,10,25.993184565434568,38.75474417249417,12.761559607059603
deeprm:p1_lag:SJF:0,11,16.120508241758245,24.865288211788215,8.74477997002997
deeprm:p1_lag:SJF:0,12,35.985627455877456,35.07460814185814,-0.9110193140193132
deeprm:p1_lag:SJF:0,13,43.79200058275058,48.7708682983683,4.978867715617717
deeprm:p1_lag:SJF:0,14,27.838513653013653,37.565319347319345,9.726805694305693
deeprm:p1_lag:SJF:0,15,31.55555611055611,37.42776831501831,5.872212204462201
deeprm:p1_lag:SJF:0,16,35.897800116550115,44.44072485847486,8.542924741924743
deeprm:p1_lag:SJF:0,17,17.899735764235764,29.03000058275058,11.130264818514817
deeprm:p1_lag:SJF:0,18,60.47180386280386,58.88275174825175,-1.5890521145521106
deeprm:p1_lag:SJF:0,19,36.78892132867133,45.02926173826174,8.24034040959041
deeprm:p1_lag:SJF:0,20,50.95389785214785,57.14422710622712,6.190329254079273
deeprm:p1_lag:SJF:0,21,28.195808691308685,42.4244592074592,14.228650516150516
deeprm:p1_lag:SJF:0,22,51.04709132534133,55.10587862137862,4.058787296037295
deeprm:p1_lag:SJF:0,23,47.170932234432236,51.68036771561772,4.509435481185484
deeprm:p1_lag:SJF:0,24,40.417093240093244,42.07993098568099,1.662837745587744
deeprm:p1_lag:SJF:0,25,19.529264901764904,27.69515567765568,8.165890775890777
deeprm:p1_lag:SJF:0,26,12.507855477855479,15.065066849816851,2.5572113719613725
deeprm:p1_lag:SJF:0,27,35.66791533466534,38.74000591075591,3.0720905760905737
deeprm:p1_lag:SJF:0,28,35.78571237096237,42.64778338328338,6.86207101232101
deeprm:p1_lag:SJF:0,29,32.67794072594072,45.94029420579421,13.262353479853488
deeprm:p1_lag:Tetris*:1,0,39.80732559107559,82.89930003330004,43.09197444222445
deeprm:p1_lag:Tetris*:1,1,43.91923093573094,93.24969089244088,49.330459956709944
deeprm:p1_lag:Tetris*:1,2,45.390773892773886,98.4560894938395,53.06531560106561
deeprm:p1_lag:Tetris*:1,3,49.08819463869464,85.32268764568765,36.23449300699301
deeprm:p1_lag:Tetris*:1,4,32.85216608391609,78.59343206793206,45.74126598401597
deeprm:p1_lag:Tetris*:1,5,32.67911563436564,91.98215392940392,59.303038295038284
deeprm:p1_lag:Tetris*:1,6,20.982710206460204,66.43685497835497,45.45414477189477
deeprm:p1_lag:Tetris*:1,7,41.4015074925075,85.29151423576424,43.89000674325674
deeprm:p1_lag:Tetris*:1,8,24.715113136863135,74.38471095571094,49.669597818847805
deeprm:p1_lag:Tetris*:1,9,41.95132892107892,84.1534328171828,42.202103896103885
deeprm:p1_lag:Tetris*:1,10,24.343355977355976,74.39934415584416,50.055988178488185
deeprm:p1_lag:Tetris*:1,11,18.06436396936397,50.000080586080585,31.935716616716615
deeprm:p1_lag:Tetris*:1,12,38.434816600066604,82.33666450216451,43.901847902097906
deeprm:p1_lag:Tetris*:1,13,49.970393439893435,100.77559623709624,50.8052027972028
deeprm:p1_lag:Tetris*:1,14,32.629979020979015,79.79206709956709,47.16208807858808
deeprm:p1_lag:Tetris*:1,15,34.66487853812854,84.15073285048285,49.48585431235431
deeprm:p1_lag:Tetris*:1,16,35.96574983349983,87.4430318015318,51.477281968031974
deeprm:p1_lag:Tetris*:1,17,21.067347152847155,65.88784923409924,44.82050208125208
deeprm:p1_lag:Tetris*:1,18,57.900060023310026,107.60680902430904,49.70674900099902
deeprm:p1_lag:Tetris*:1,19,34.82884573759574,81.96316916416917,47.13432342657343
deeprm:p1_lag:Tetris*:1,20,49.12822236097236,100.89010422910422,51.761881868131866
deeprm:p1_lag:Tetris*:1,21,29.395463702963706,76.71439593739595,47.31893223443224
deeprm:p1_lag:Tetris*:1,22,52.32121528471528,107.31545704295704,54.994241758241756
deeprm:p1_lag:Tetris*:1,23,45.92610989010989,86.27099000999002,40.34488011988012
deeprm:p1_lag:Tetris*:1,24,43.24882634032634,83.08976132201133,39.84093498168499
deeprm:p1_lag:Tetris*:1,25,24.28860914085914,66.59704045954047,42.30843131868133
deeprm:p1_lag:Tetris*:1,26,14.619024059274059,54.3124383949384,39.693414335664336
deeprm:p1_lag:Tetris*:1,27,39.92306959706959,97.30236022311023,57.379290626040635
deeprm:p1_lag:Tetris*:1,28,37.52746012321012,99.91438952713953,62.386929403929415
deeprm:p1_lag:Tetris*:1,29,38.45377788877789,86.2070969030969,47.753319014319004
deeprm:p1_lag:SJF:1,0,39.80732559107559,66.6575477022977,26.850222111222116
deeprm:p1_lag:SJF:1,1,43.91923093573094,69.63036879786881,25.711137862137875
deeprm:p1_lag:SJF:1,2,45.390773892773886,76.30063086913087,30.909856976356984
deeprm:p1_lag:SJF:1,3,49.08819463869464,69.74493747918747,20.656742840492832
deeprm:p1_lag:SJF:1,4,32.85216608391609,62.61740018315018,29.765234099234092
deeprm:p1_lag:SJF:1,5,32.67911563436564,61.776707292707286,29.09759165834165
deeprm:p1_lag:SJF:1,6,20.982710206460204,49.643433816183816,28.66072360972361
deeprm:p1_lag:SJF:1,7,41.4015074925075,73.32659507159508,31.92508757908758
deeprm:p1_lag:SJF:1,8,24.715113136863135,50.091775308025305,25.37666217116217
deeprm:p1_lag:SJF:1,9,41.95132892107892,73.75842141192142,31.8070924908425
deeprm:p1_lag:SJF:1,10,24.343355977355976,65.42733591408592,41.08397993672994
deeprm:p1_lag:SJF:1,11,18.06436396936397,50.8624821012321,32.79811813186812
deeprm:p1_lag:SJF:1,12,38.434816600066604,58.034904428904426,19.60008782883782
deeprm:p1_lag:SJF:1,13,49.970393439893435,81.29984282384282,31.329449383949388
deeprm:p1_lag:SJF:1,14,32.629979020979015,60.53173584748584,27.901756826506826
deeprm:p1_lag:SJF:1,15,34.66487853812854,65.43238877788878,30.767510239760234
deeprm:p1_lag:SJF:1,16,35.96574983349983,71.39940809190809,35.43365825840826
deeprm:p1_lag:SJF:1,17,21.067347152847155,55.630503663003665,34.56315651015651
deeprm:p1_lag:SJF:1,18,57.900060023310026,91.3384418081918,33.43838178488178
deeprm:p1_lag:SJF:1,19,34.82884573759574,75.12475133200134,40.295905594405596
deeprm:p1_lag:SJF:1,20,49.12822236097236,85.23558183483183,36.107359473859475
deeprm:p1_lag:SJF:1,21,29.395463702963706,65.2423697968698,35.846906093906085
deeprm:p1_lag:SJF:1,22,52.32121528471528,84.67264760239759,32.35143231768231
deeprm:p1_lag:SJF:1,23,45.92610989010989,73.01726098901099,27.0911510989011
deeprm:p1_lag:SJF:1,24,43.24882634032634,64.30665934065934,21.057833000332998
deeprm:p1_lag:SJF:1,25,24.28860914085914,52.97076898101897,28.68215984015983
deeprm:p1_lag:SJF:1,26,14.619024059274059,45.26959024309024,30.65056618381618
deeprm:p1_lag:SJF:1,27,39.92306959706959,68.72742990342991,28.804360306360316
deeprm:p1_lag:SJF:1,28,37.52746012321012,75.30975707625707,37.78229695304695
deeprm:p1_lag:SJF:1,29,38.45377788877789,79.64265442890442,41.18887654012653
deeprm:p1_lag:Tetris*:2,0,46.888129870129866,101.95164294039294,55.06351307026308
deeprm:p1_lag:Tetris*:2,1,44.82996053946054,104.24690742590741,59.41694688644687
deeprm:p1_lag:Tetris*:2,2,45.013489177489184,113.9420416250416,68.92855244755242
deeprm:p1_lag:Tetris*:2,3,44.78660631035631,101.95901923076923,57.17241292041292
deeprm:p1_lag:Tetris*:2,4,32.365260656010655,98.56537112887112,66.20011047286047
deeprm:p1_lag:Tetris*:2,5,39.60367224442224,111.19110639360639,71.58743414918415
deeprm:p1_lag:Tetris*:2,6,24.310046536796534,88.72740367965368,64.41735714285714
deeprm:p1_lag:Tetris*:2,7,50.98404995004996,108.7480670995671,57.76401714951714
deeprm:p1_lag:Tetris*:2,8,25.42320271395271,101.18170537795537,75.75850266400266
deeprm:p1_lag:Tetris*:2,9,44.62013911088911,112.41484773559772,67.7947086247086
deeprm:p1_lag:Tetris*:2,10,25.65775682650683,94.10302239427239,68.44526556776556
deeprm:p1_lag:Tetris*:2,11,19.08883191808192,79.22677913752914,60.13794721944721
deeprm:p1_lag:Tetris*:2,12,39.99088636363636,105.48894472194472,65.49805835830836
deeprm:p1_lag:Tetris*:2,13,48.07256393606394,114.46372602397601,66.39116208791206
deeprm:p1_lag:Tetris*:2,14,34.990100899100895,113.16874891774891,78.17864801864802
deeprm:p1_lag:Tetris*:2,15,32.59892923742923,108.41720304695303,75.8182738095238
deeprm:p1_lag:Tetris*:2,16,40.31305752580752,107.14648717948718,66.83342965367966
deeprm:p1_lag:Tetris*:2,17,22.355377372627373,89.44910198135197,67.0937246087246
deeprm:p1_lag:Tetris*:2,18,60.575766233766224,131.53455910755912,70.9587928737929
deeprm:p1_lag:Tetris*:2,19,37.448708791208794,99.8383925241425,62.38968373293371
deeprm:p1_lag:Tetris*:2,20,47.26864352314352,116.26334024309024,68.99469671994672
deeprm:p1_lag:Tetris*:2,21,31.83119438894439,96.89436688311689,65.0631724941725
deeprm:p1_lag:Tetris*:2,22,56.60348593073592,131.18442998668,74.58094405594406
deeprm:p1_lag:Tetris*:2,23,49.30061704961706,108.41225066600067,59.111633616383614
deeprm:p1_lag:Tetris*:2,24,39.367020562770556,109.92520196470196,70.55818140193139
deeprm:p1_lag:Tetris*:2,25,24.376168914418912,87.25470804195804,62.87853912753913
deeprm:p1_lag:Tetris*:2,26,19.24920512820513,77.47623817848819,58.227033050283055
deeprm:p1_lag:Tetris*:2,27,42.540502081252086,129.28887321012323,86.74837112887114
deeprm:p1_lag:Tetris*:2,28,41.67313911088912,128.7493195970696,87.07618048618048
deeprm:p1_lag:Tetris*:2,29,39.14229295704296,111.6352062104562,72.49291325341323
deeprm:p1_lag:SJF:2,0,46.888129870129866,96.23020279720281,49.34207292707294
deeprm:p1_lag:SJF:2,1,44.82996053946054,94.45411338661339,49.62415284715285
deeprm:p1_lag:SJF:2,2,45.013489177489184,101.51595862470862,56.50246944721943
deeprm:p1_lag:SJF:2,3,44.78660631035631,91.67536013986013,46.88875382950382
deeprm:p1_lag:SJF:2,4,32.365260656010655,86.26507967032967,53.899819014319014
deeprm:p1_lag:SJF:2,5,39.60367224442224,96.38309490509491,56.779422660672665
deeprm:p1_lag:SJF:2,6,24.310046536796534,74.28555186480186,49.975505328005326
deeprm:p1_lag:SJF:2,7,50.98404995004996,95.04834557109558,44.06429562104562
deeprm:p1_lag:SJF:2,8,25.42320271395271,76.7669075091575,51.3437047952048
deeprm:p1_lag:SJF:2,9,44.62013911088911,100.05117016317017,55.43103105228106
deeprm:p1_lag:SJF:2,10,25.65775682650683,93.29106543456543,67.6333086080586
deeprm:p1_lag:SJF:2,11,19.08883191808192,69.2989234099234,50.21009149184148
deeprm:p1_lag:SJF:2,12,39.99088636363636,81.9473424075924,41.95645604395604
deeprm:p1_lag:SJF:2,13,48.07256393606394,97.75485755910755,49.682293623043606
deeprm:p1_lag:SJF:2,14,34.990100899100895,89.15790709290708,54.167806193806186
deeprm:p1_lag:SJF:2,15,32.59892923742923,89.45046636696638,56.85153712953715
deeprm:p1_lag:SJF:2,16,40.31305752580752,94.79311288711287,54.48005536130535
deeprm:p1_lag:SJF:2,17,22.355377372627373,78.03788444888445,55.68250707625708
deeprm:p1_lag:SJF:2,18,60.575766233766224,110.44690442890443,49.87113819513821
deeprm:p1_lag:SJF:2,19,37.448708791208794,95.73043048618048,58.28172169497169
deeprm:p1_lag:SJF:2,20,47.26864352314352,107.81352497502498,60.54488145188146
deeprm:p1_lag:SJF:2,21,31.83119438894439,89.66627572427574,57.835081335331346
deeprm:p1_lag:SJF:2,22,56.60348593073592,111.73425274725275,55.13076681651683
deeprm:p1_lag:SJF:2,23,49.30061704961706,96.04153188478189,46.74091483516483
deeprm:p1_lag:SJF:2,24,39.367020562770556,88.81572943722944,49.44870887445888
deeprm:p1_lag:SJF:2,25,24.376168914418912,76.10900008325008,51.73283116883117
deeprm:p1_lag:SJF:2,26,19.24920512820513,78.57963145188144,59.330426323676306
deeprm:p1_lag:SJF:2,27,42.540502081252086,99.45288478188479,56.912382700632705
deeprm:p1_lag:SJF:2,28,41.67313911088912,110.72911854811855,69.05597943722944
deeprm:p1_lag:SJF:2,29,39.14229295704296,98.50127539127537,59.35898243423241
deeprm:p1_lag:Tetris*:5,0,55.780159923409926,163.9158658008658,108.13570587745586
deeprm:p1_lag:Tetris*:5,1,59.584718115218124,170.7218777888778,111.13715967365968
deeprm:p1_lag:Tetris*:5,2,65.04167632367633,170.62706635031637,105.58539002664004
deeprm:p1_lag:Tetris*:5,3,60.749706127206125,149.97787970362972,89.2281735764236
deeprm:p1_lag:Tetris*:5,4,46.99203263403264,157.6309597069597,110.63892707292705
deeprm:p1_lag:Tetris*:5,5,56.59204612054613,178.43964768564766,121.84760156510153
deeprm:p1_lag:Tetris*:5,6,30.77247818847819,149.82764652014652,119.05516833166833
deeprm:p1_lag:Tetris*:5,7,57.44937412587412,172.73170529470528,115.28233116883115
deeprm:p1_lag:Tetris*:5,8,33.030484348984345,168.47482800532802,135.44434365634368
deeprm:p1_lag:Tetris*:5,9,57.079778971028965,176.1713852813853,119.09160631035635
deeprm:p1_lag:Tetris*:5,10,53.31480111555112,132.6968771228771,79.38207600732599
deeprm:p1_lag:Tetris*:5,11,24.500897352647353,113.95603288378287,89.45513553113551
deeprm:p1_lag:Tetris*:5,12,60.39659923409923,161.02381709956708,100.62721786546786
deeprm:p1_lag:Tetris*:5,13,65.09224175824176,187.07340318015318,121.98116142191142
deeprm:p1_lag:Tetris*:5,14,45.9469184981685,188.35107542457544,142.40415692640693
deeprm:p1_lag:Tetris*:5,15,46.434735597735596,190.79741575091575,144.36268015318015
deeprm:p1_lag:Tetris*:5,16,53.70957384282385,147.04149092574096,93.3319170829171
deeprm:p1_lag:Tetris*:5,17,29.85997244422244,140.86162570762568,111.00165326340324
deeprm:p1_lag:Tetris*:5,18,76.48985922410922,171.42376556776554,94.93390634365632
deeprm:p1_lag:Tetris*:5,19,53.674141192141185,145.4079308191808,91.73378962703961
deeprm:p1_lag:Tetris*:5,20,59.17604720279721,178.18766916416917,119.01162196137196
deeprm:p1_lag:Tetris*:5,21,43.05212254412255,161.65700632700631,118.60488378288377
deeprm:p1_lag:Tetris*:5,22,70.01759415584415,190.95220337995335,120.9346092241092
deeprm:p1_lag:Tetris*:5,23,52.72255519480521,159.56929304029302,106.84673784548781
deeprm:p1_lag:Tetris*:5,24,54.87303346653347,168.50997144522145,113.63693797868798
deeprm:p1_lag:Tetris*:5,25,32.39123701298701,146.47493481518484,114.08369780219783
deeprm:p1_lag:Tetris*:5,26,24.07750074925075,127.6701883116883,103.59268756243756
deeprm:p1_lag:Tetris*:5,27,51.63832592407593,193.91715825840828,142.27883233433235
deeprm:p1_lag:Tetris*:5,28,58.51489552114552,179.17707342657343,120.66217790542791
deeprm:p1_lag:Tetris*:5,29,48.16964202464202,147.82405835830835,99.65441633366632
deeprm:p1_lag:SJF:5,0,55.780159923409926,163.5500278887779,107.76986796536796
deeprm:p1_lag:SJF:5,1,59.584718115218124,166.36781651681653,106.78309840159841
