cell,seed_index,offset,rossi_total_cost,hpa_v2_total_cost,delta_hpa_v2_minus_rossi,rossi_sla_violation_rate,hpa_v2_sla_violation_rate,rossi_action_churn,hpa_v2_action_churn,rossi_mean_replicas,hpa_v2_mean_replicas,rossi_replica_std,hpa_v2_replica_std
clean,0,12003,218.3743,186.399,-31.975300000000004,0.031808714488044655,0.00024993751562109475,nan,33,nan,5.151462134466383,nan,0.8607370501848708
clean,1,28007,193.74349999999998,161.154,-32.58949999999999,0.031808714488044655,0.00024993751562109475,nan,33,nan,4.450387403149213,nan,1.035776166367317
clean,2,36009,201.1453,173.889,-27.25629999999998,0.031808714488044655,0.00024993751562109475,nan,33,nan,4.804048987753061,nan,0.9221610522831752
clean,3,56014,199.1798,151.74900000000002,-47.43079999999998,0.031808714488044655,0.00024993751562109475,nan,37,nan,4.189202699325168,nan,1.329850090738333
clean,4,60015,216.89069999999998,183.87900000000002,-33.01169999999996,0.031808714488044655,0.00024993751562109475,nan,49,nan,5.081479630092477,nan,1.001053886125383
clean,5,76019,207.0815,181.98900000000003,-25.092499999999973,0.031808714488044655,0.00024993751562109475,nan,37,nan,5.028992751812047,nan,0.9181222538851681
clean,6,84021,229.52589999999998,201.474,-28.05189999999999,0.031808714488044655,0.00024993751562109475,nan,31,nan,5.570107473131717,nan,1.067642846711673
clean,7,96024,222.5847,181.98900000000003,-40.595699999999965,0.031808714488044655,0.00024993751562109475,nan,37,nan,5.028992751812047,nan,0.9926796346169316
clean,8,116029,200.50019999999998,172.80900000000003,-27.691199999999952,0.031808714488044655,0.00024993751562109475,nan,33,nan,4.77405648587853,nan,1.0874930370039912
clean,9,120030,198.69279999999998,182.34900000000002,-16.34379999999996,0.031808714488044655,0.00024993751562109475,nan,39,nan,5.038990252436891,nan,0.9860204465804411
clean,10,148037,208.0651,174.834,-33.2311,0.031808714488044655,0.00024993751562109475,nan,41,nan,4.830292426893276,nan,0.9880273730735641
clean,11,152038,206.97209999999998,187.25400000000002,-19.718099999999964,0.031808714488044655,0.00024993751562109475,nan,45,nan,5.175206198450387,nan,0.924300563041514
clean,12,180045,209.81920000000002,171.729,-38.09020000000001,0.031808714488044655,0.0,nan,42,nan,4.769057735566109,nan,1.2540969448686927
clean,13,184046,223.47009999999997,186.71400000000006,-36.75609999999992,0.031808714488044655,0.00024993751562109475,nan,41,nan,5.160209947513121,nan,0.8466977805735145
clean,14,192048,203.9013,187.65900000000002,-16.24229999999997,0.031808714488044655,0.00024993751562109475,nan,37,nan,5.186453386653337,nan,0.8783698309932741
clean,15,224056,214.37720000000002,186.53400000000005,-27.843199999999968,0.031808714488044655,0.00024993751562109475,nan,43,nan,5.1552111972007,nan,0.9332393732063954
clean,16,240060,192.58999999999997,166.19400000000002,-26.395999999999958,0.031808714488044655,0.00024993751562109475,nan,43,nan,4.590352411897026,nan,0.9432255733143943
clean,17,248062,182.12969999999999,158.54399999999998,-23.585700000000003,0.031808714488044655,0.0,nan,27,nan,4.402899275181205,nan,0.8145340543344747
clean,18,256064,195.54919999999998,172.04400000000004,-23.505199999999945,0.031808714488044655,0.00024993751562109475,nan,35,nan,4.752811797050738,nan,1.0612969089932067
clean,19,260065,204.02569999999997,154.494,-49.53169999999997,0.031808714488044655,0.00024993751562109475,nan,39,nan,4.265433641589603,nan,0.9462048098970922
clean,20,276069,209.8825,179.01900000000003,-30.86349999999996,0.031808714488044655,0.00024993751562109475,nan,41,nan,4.946513371657086,nan,1.036035772960056
