config_key,config_label,target_utilization,scale_down_stabilization_seconds,cell,cell_label,rossi_mean_total_cost,hpa_mean_total_cost,delta_mean,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,hpa_wins,rossi_wins,mean_replicas,mean_replica_std,mean_sla_violation_rate
target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,204.0891,213.8295,9.740400000000015,4.170347250000023,15.311424666666671,0.998870011299887,0.0011399886001139988,7,23,5.916562526035158,1.2651065575286569,0.00021661251353828216
target_40_down_300,"target=40%, down=300s",0.4,300,p1,P1 lag k=10,150.60737000000003,212.295,61.68763000000001,56.772600583333336,66.70241358333332,1.0,9.99990000099999e-06,0,30,5.873948179621762,1.244294139209408,0.00021661251353828216
target_40_down_300,"target=40%, down=300s",0.4,300,p2,P2 tail alpha=1.5,224.98108333333332,213.8295,-11.15158333333333,-19.30411133333333,-3.267534083333335,0.006639933600663993,0.993370066299337,19,11,5.916562526035158,1.2651065575286569,0.00021661251353828216
target_40_down_300,"target=40%, down=300s",0.4,300,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,213.8295,4.5453733333333535,-1.008276499999986,9.842531416666683,0.9405305946940531,0.05947940520594794,10,20,5.916562526035158,1.2651065575286569,0.00021661251353828216
target_50_down_300,"target=50%, down=300s",0.5,300,clean,Clean,204.0891,172.53150000000002,-31.557599999999972,-36.40067108333331,-27.07401558333331,9.99990000099999e-06,1.0,30,0,4.7696825793551625,0.9848191718062049,0.00021661251353828216
target_50_down_300,"target=50%, down=300s",0.5,300,p1,P1 lag k=10,150.60737000000003,173.63400000000001,23.026630000000022,18.679236666666693,27.22137983333334,1.0,9.99990000099999e-06,0,30,4.800299925018745,0.9926585023754843,0.00021661251353828216
target_50_down_300,"target=50%, down=300s",0.5,300,p2,P2 tail alpha=1.5,224.98108333333332,172.5615,-52.41958333333332,-60.15546666666665,-44.939865916666655,9.99990000099999e-06,1.0,30,0,4.7696825793551625,0.9848191718062049,0.00022494376405898532
target_50_down_300,"target=50%, down=300s",0.5,300,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,172.53150000000002,-36.752626666666636,-41.58765833333331,-32.57048524999997,9.99990000099999e-06,1.0,30,0,4.7696825793551625,0.9848191718062049,0.00021661251353828216
target_60_down_300,"target=60%, down=300s",0.6,300,clean,Clean,204.0891,146.20649999999998,-57.88259999999999,-62.31032616666667,-53.556705833333325,9.99990000099999e-06,1.0,30,0,4.038615346163458,0.7978027726372071,0.00021661251353828216
target_60_down_300,"target=60%, down=300s",0.6,300,p1,P1 lag k=10,150.60737000000003,146.028,-4.579369999999996,-8.721457916666665,-0.8981072499999971,0.013979860201397985,0.986030139698603,17,13,4.03032575189536,0.8032150448961768,0.00024993751562109475
target_60_down_300,"target=60%, down=300s",0.6,300,p2,P2 tail alpha=1.5,224.98108333333332,147.61650000000003,-77.3645833333333,-85.00218716666667,-70.04277233333333,9.99990000099999e-06,1.0,30,0,4.038615346163458,0.7978027726372071,0.0006081812880113301
target_60_down_300,"target=60%, down=300s",0.6,300,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,146.20649999999998,-63.077626666666646,-67.80022699999998,-58.777834833333316,9.99990000099999e-06,1.0,30,0,4.038615346163458,0.7978027726372071,0.00021661251353828216
target_70_down_300,"target=70%, down=300s",0.7,300,clean,Clean,204.0891,129.8265,-74.2626,-78.33659624999997,-70.18672508333333,9.99990000099999e-06,1.0,30,0,3.5479046904940432,0.7185084456842147,0.0005748562859285177
target_70_down_300,"target=70%, down=300s",0.7,300,p1,P1 lag k=10,150.60737000000003,135.40650000000002,-15.200869999999993,-19.95332116666666,-10.478998416666666,1.999980000199998e-05,0.999990000099999,27,3,3.5429059401816216,0.7076075806972937,0.002174456385903524
target_70_down_300,"target=70%, down=300s",0.7,300,p2,P2 tail alpha=1.5,224.98108333333332,164.32649999999998,-60.65458333333333,-69.74421991666665,-51.231670416666674,9.99990000099999e-06,1.0,30,0,3.5479046904940432,0.7185084456842147,0.010155794384737151
target_70_down_300,"target=70%, down=300s",0.7,300,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,129.8265,-79.45762666666664,-83.81928558333331,-75.2663668333333,9.99990000099999e-06,1.0,30,0,3.5479046904940432,0.7185084456842147,0.0005748562859285177
target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,204.0891,161.96249999999998,-42.12659999999999,-46.38015774999999,-37.84948799999999,9.99990000099999e-06,1.0,30,0,4.476172623510789,1.7965561356712592,0.00021661251353828216
target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,150.60737000000003,162.16500000000002,11.557630000000007,7.3855367500000115,15.86809916666667,1.0,9.99990000099999e-06,5,25,4.4817962176122625,1.7991902735200365,0.00021661251353828216
target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,224.98108333333332,161.96249999999998,-63.018583333333325,-70.16940866666667,-56.17377783333333,9.99990000099999e-06,1.0,30,0,4.476172623510789,1.7965561356712592,0.00021661251353828216
target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,161.96249999999998,-47.32162666666664,-51.55436041666664,-43.38513091666664,9.99990000099999e-06,1.0,30,0,4.476172623510789,1.7965561356712592,0.00021661251353828216
target_50_down_0,"target=50%, down=0s",0.5,0,clean,Clean,204.0891,132.798,-71.29109999999999,-75.59503558333333,-67.26355083333334,9.99990000099999e-06,1.0,30,0,3.6662501041406323,1.4516712368398759,0.00021661251353828216
target_50_down_0,"target=50%, down=0s",0.5,0,p1,P1 lag k=10,150.60737000000003,133.2345,-17.372869999999992,-21.273893833333325,-13.376656083333327,9.99990000099999e-06,1.0,29,1,3.6750395734399732,1.4554857094748581,0.00024993751562109475
target_50_down_0,"target=50%, down=0s",0.5,0,p2,P2 tail alpha=1.5,224.98108333333332,133.188,-91.79308333333334,-98.97863216666667,-84.43005158333332,9.99990000099999e-06,1.0,30,0,3.6662501041406323,1.4516712368398759,0.0003249187703074232
target_50_down_0,"target=50%, down=0s",0.5,0,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,132.798,-76.48612666666664,-80.90495391666667,-72.38272641666666,9.99990000099999e-06,1.0,30,0,3.6662501041406323,1.4516712368398759,0.00021661251353828216
target_60_down_0,"target=60%, down=0s",0.6,0,clean,Clean,204.0891,114.5595,-89.52959999999999,-93.67517416666665,-85.54490474999999,9.99990000099999e-06,1.0,30,0,3.1530867283179194,1.224829249948527,0.0002832625177039074
target_60_down_0,"target=60%, down=0s",0.6,0,p1,P1 lag k=10,150.60737000000003,117.63899999999997,-32.968369999999986,-36.68016449999999,-29.132459249999997,9.99990000099999e-06,1.0,30,0,3.1569607598100475,1.224469947180997,0.0010997250687328167
target_60_down_0,"target=60%, down=0s",0.6,0,p2,P2 tail alpha=1.5,224.98108333333332,121.18950000000001,-103.79158333333334,-111.30165333333332,-96.31011766666668,9.99990000099999e-06,1.0,30,0,3.1530867283179194,1.224829249948527,0.0021244688827793054
target_60_down_0,"target=60%, down=0s",0.6,0,p3,P3 bucket-flip epsilon=0.05,209.28412666666665,114.5595,-94.72462666666665,-99.10410083333333,-90.68820983333333,9.99990000099999e-06,1.0,30,0,3.1530867283179194,1.224829249948527,0.0002832625177039074
target_70_down_0,"target=70%, down=0s",0.7,0,clean,Clean,204.0891,103.60799999999999,-100.48109999999997,-104.76054066666664,-96.40706466666666,9.99990000099999e-06,1.0,30,0,2.746480046655003,1.0163163884994006,0.0013080063317503956
