hpa_total_cost,hpa_sla_violation_rate,hpa_action_churn,hpa_mean_replicas,hpa_replica_std,hpa_replica_min,hpa_replica_max,config_key,config_label,target_utilization,scale_down_stabilization_seconds,cell,cell_label,seed_index,offset,rossi_total_cost,delta_hpa_minus_rossi
172.224,0.00024993751562109475,125.0,4.757810547363159,2.005760164286739,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,11,152038,228.8056,-56.58160000000001
163.044,0.0,110.0,4.527868032991752,1.8944361843214035,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,12,180045,250.4106,-87.36659999999998
174.789,0.00024993751562109475,127.0,4.829042739315171,1.8891463918660245,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,13,184046,209.8829,-35.09390000000002
175.419,0.00024993751562109475,113.0,4.846538365408648,1.8444763798463981,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,14,192048,210.01300000000003,-34.59400000000002
170.559,0.00024993751562109475,99.0,4.711572106973256,1.8647839547953722,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,15,224056,259.8589,-89.29990000000001
149.454,0.00024993751562109475,101.0,4.125468632841789,1.7491394496651094,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,16,240060,221.0752,-71.62119999999999
155.079,0.0,109.0,4.306673331667083,1.5771988037322686,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,17,248062,245.59840000000003,-90.51940000000002
163.269,0.00024993751562109475,97.0,4.50912271932017,1.6308937125425438,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,18,256064,215.09799999999998,-51.82899999999998
141.489,0.00024993751562109475,99.0,3.9042739315171207,1.6370443642064711,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,19,260065,210.40509999999998,-68.91609999999997
165.114,0.00024993751562109475,121.0,4.560359910022495,1.7814670539239108,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,20,276069,235.3126,-70.1986
