lag,rossi_mean_total_cost,hpa_mean_total_cost,delta_hpa_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,outcome
0,608.89554,118.2825,-490.6130399999999,-526.3411237499998,-453.524121,9.99990000099999e-06,1.0,confirmed
1,1036.2600599999998,118.74780000000003,-917.5122599999999,-954.8298359999998,-877.8779332500003,9.99990000099999e-06,1.0,confirmed
2,1239.9782700000003,126.03659999999999,-1113.9416700000002,-1157.1936532500001,-1067.874927,9.99990000099999e-06,1.0,confirmed
5,1319.80416,836.0574,-483.74676000000005,-524.9960010000001,-438.866352,9.99990000099999e-06,1.0,confirmed
10,1349.4172800000003,1115.6943,-233.72298000000006,-274.60287900000003,-190.3613025000001,9.99990000099999e-06,1.0,confirmed
30,1373.8361999999993,1360.9451999999994,-12.89100000000019,-58.25347350000017,35.37383549999979,0.2984170158298417,0.7015929840701594,inconclusive
