cell,n_windows,min,q25,median,q75,max,mean,rossi_beats_hpa_windows,rossi_beats_hpa_fraction
clean_k0_alpha_inf_epsilon0,30,-106.85040000000004,-93.72639999999998,-83.47059999999999,-78.15762499999998,-58.165199999999984,-85.80660000000002,0,0.0
p1_k10,30,782.9535999999998,934.8154499999998,962.0975,1001.3152,1099.8661,965.0869299999998,30,1.0
p2_alpha_1_5,30,-146.90419999999995,-115.353025,-105.93345,-97.28649999999996,-63.1332,-105.97858333333333,0,0.0
p3_epsilon_0_05,30,-125.47290000000004,-97.33555,-90.19144999999999,-83.57127499999997,-68.4655,-91.00162666666667,0,0.0
