value,rossi_mean_total_cost,hpa_mean_total_cost,delta_hpa_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,outcome,rossi_sla_violation_rate,hpa_sla_violation_rate,service_time_cv2,attack_fraction,mean_abs_delta,max_abs_delta
inf,204.0891,118.2825,-85.80660000000002,-89.90061183333334,-81.78514808333333,9.99990000099999e-06,1.0,confirmed,0.031808714488044655,0.0003915687744730485,0.0,,,
1.5,224.98108333333332,119.0025,-105.97858333333333,-113.13405808333333,-98.6716270833333,9.99990000099999e-06,1.0,confirmed,0.0324585520286595,0.0005915187869699241,3.7193877551020385,,,
