scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3413,-430.7239052583682,214290.50012854143,172111.40323293395,601595.849622373,214290.50012854137,5361006.709930173,14.983277797698975
learn,0,10000000,201,7625,-431.2958433904036,214575.0464628874,132150.09779885132,728868.9827341642,214575.04646288737,5359405.914767302,41.48398184776306
dynamic_partition,1,10000001,201,3692,-251.48488291463642,125116.85717146078,101637.37920635846,321572.7746079331,125116.85717146091,5085039.131193124,15.166414976119995
learn,1,10000001,201,7501,-261.9885876361881,130342.5809135265,107439.61124148383,313148.41432348825,130342.58091352641,5142574.362620833,38.15222525596619
dynamic_partition,2,10000002,201,3348,-440.99470387606675,219400.3501870979,173951.59284842922,605298.9481980577,219400.35018709788,5058992.484575796,14.325345277786255
learn,2,10000002,201,7663,-435.558279972258,216695.66167774002,147916.84157775948,726955.0318448618,216695.66167774028,5308048.13743387,44.79994344711304
dynamic_partition,3,10000003,201,3681,-177.52543431946137,88321.11160172195,79127.26782157831,200816.83203972713,88321.11160172206,5634801.488850162,12.043462991714478
learn,3,10000003,201,7147,-211.07655522744167,105013.21155594126,91766.12476873375,246402.99078463297,105013.21155594113,5640518.771731482,27.458126306533813
dynamic_partition,4,10000004,201,3655,-204.35695815500986,101670.12843532846,81934.30408924818,242060.61251779227,101670.12843532828,5158059.605252984,11.123399257659912
learn,4,10000004,201,7053,-250.03520974610475,124395.6267393557,97792.31059273309,327111.62154426426,124395.62673935559,5153682.708492905,33.789633989334106
dynamic_partition,5,10000005,201,3334,-599.9056399639393,298460.5173949945,247792.5167736765,726730.3675166122,298460.5173949947,5014702.954493773,15.937494039535522
learn,5,10000005,201,7921,-579.2738386143973,288195.9396091528,155544.50467256177,903488.6172546428,288195.93960915285,5348973.009773195,42.02638840675354
dynamic_partition,6,10000006,201,3526,-283.08478984918906,140838.20390506915,86742.86403763294,423763.00260704244,140838.20390506918,5164708.637102488,11.671253442764282
learn,6,10000006,201,6847,-294.32118022304996,146428.44787216414,92418.52238288522,464478.54673407646,146428.44787216416,5183189.621789673,32.94789004325867
dynamic_partition,7,10000007,201,3586,-346.84612216399523,172560.25978308197,132139.97813259647,447937.12970251427,172560.2597830822,5024821.97378807,13.592326641082764
learn,7,10000007,201,8138,-428.23689500604877,213053.18159504925,134839.63562754588,696535.8271209602,213053.18159504913,5026497.212502427,40.824522972106934
dynamic_partition,8,10000008,201,3527,-201.72524549071554,100360.81865209705,85570.51040577842,244237.41672507476,100360.81865209728,6062322.4586641565,13.634537935256958
learn,8,10000008,201,6734,-223.88953819836715,111387.82994943656,97685.90429989621,304754.4086639695,111387.82994943639,6115080.44960411,34.797481060028076
dynamic_partition,9,10000009,201,3349,-639.9692158784624,318392.6447156526,222335.7119674543,874644.5691307457,318392.6447156529,5068176.529790135,12.51732063293457
learn,9,10000009,201,7551,-593.0227884848352,295036.21317653434,159341.56405170728,1162013.2073381902,295036.213176535,5238539.867391437,41.765169620513916
dynamic_partition,10,10000010,201,3198,-661.7525761126894,329230.1373694972,266467.78949133446,758207.2939288621,329230.1373694972,4870571.368067767,12.484205961227417
learn,10,10000010,201,7791,-607.2360629667946,302107.49401333067,153876.4824302364,1005890.5426637637,302107.49401333067,5338499.6832540585,44.702534437179565
dynamic_partition,11,10000011,201,3475,-239.95917714591891,119382.67519697477,89575.31787387468,297393.8594696084,119382.67519697458,5475367.395842043,10.513556480407715
learn,11,10000011,201,7220,-283.9578860034559,141272.58010122168,114113.31626595673,335229.9311433884,141272.58010122183,5474053.688648175,32.72291421890259
dynamic_partition,12,10000012,201,3451,-301.0281043537711,149765.2260466521,100905.31123196497,454004.8888366129,149765.2260466523,5134991.868812887,13.67337441444397
learn,12,10000012,201,7789,-371.1030747905909,184628.39541820437,132595.80234330322,539922.8780084136,184628.3954182044,5146667.518319901,43.48277187347412
dynamic_partition,13,10000013,201,3420,-421.9252785320487,209913.07389654175,157080.355643888,578517.4268218405,209913.07389654164,4995725.217390765,12.417229413986206
learn,13,10000013,201,7692,-481.1068540603854,239356.64381113686,128663.43544804095,748158.4392834441,239356.643811137,5212661.075064034,43.85643219947815
dynamic_partition,14,10000014,201,3538,-246.6279288984504,122700.46213853273,73793.04976167274,381134.7588734329,122700.46213853253,5274228.557055959,10.933387517929077
learn,14,10000014,201,6674,-255.470224167174,127099.61401351939,86127.43263353314,302444.7314094668,127099.6140135194,5260686.319173668,32.650484561920166
dynamic_partition,15,10000015,201,3515,-363.9668636598411,181078.04162181137,129404.15348358825,467158.79502548557,181078.0416218115,5457867.826185839,15.241122722625732
learn,15,10000015,201,7626,-351.32865517831937,174790.37571060687,120940.85962951067,510489.32137214136,174790.37571060666,5607983.8147731265,41.1935453414917
dynamic_partition,16,10000016,201,3567,-238.176459741726,118495.7511152865,92236.93901980133,304393.53599878354,118495.75111528656,5102285.548981371,14.900465726852417
learn,16,10000016,201,7252,-267.49492791804715,133082.05369057044,109743.1571248523,335065.47801850643,133082.05369057073,5114169.70255448,34.828192949295044
dynamic_partition,17,10000017,201,3515,-266.84459778653616,132758.50636146084,103848.00743765011,296892.9244954102,132758.50636146078,5303221.618641726,12.13882565498352
learn,17,10000017,201,7536,-301.34787390706754,149924.31537665063,128375.5931463656,325279.0696139217,149924.3153766505,5368963.399282597,34.8616361618042
dynamic_partition,18,10000018,201,3422,-359.73787033433524,178974.06484295265,131127.3721859688,462843.88129727077,178974.06484295288,5131007.9929224355,10.99832558631897
learn,18,10000018,201,8264,-428.31627157408417,213092.67242491734,149214.30698969122,588185.1236428227,213092.6724249175,5183367.261671105,43.88187289237976
dynamic_partition,19,10000019,201,3441,-409.8405949872956,203900.79352601792,166471.47313453257,505315.71940334607,203900.79352601772,4745180.984494811,15.164603233337402
learn,19,10000019,201,7986,-432.3383968409536,215093.72977161812,138658.28521410585,667567.5766323041,215093.7297716187,4848741.120623713,41.94334030151367
dynamic_partition,20,10000020,201,3536,-220.9228890894491,109911.88511912903,94398.84861030709,215946.70841622818,109911.8851191289,4968045.4528041035,11.603776693344116
learn,20,10000020,201,7297,-269.10890328075374,133885.0265078381,115506.86305655818,282823.30196887674,133885.0265078377,4961858.364757172,38.317949056625366
dynamic_partition,21,10000021,201,3386,-307.6382407737897,153053.85113123848,115688.88777426444,398948.2443753979,153053.85113123863,5518731.209396633,9.120306968688965
learn,21,10000021,201,7267,-326.9384560400608,162655.94827863725,127028.26160631608,435847.64690285735,162655.94827863722,5550831.022071471,35.579747438430786
