scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,2474,-4636.8612230329145,2306896.1308621443,2316256.208967203,4548609.416387277,2306896.1308621466,8791006.539563254,10.114476680755615
learn,0,10000000,201,6747,-3002.7288286507605,1493894.9396272423,755756.1638132483,5455243.317022317,1493894.9396272441,9225660.618312368,72.9336085319519
dynamic_partition,1,10000001,201,2754,-3449.8448816374694,1716340.737133067,1532734.0117004495,3566893.137066732,1716340.7371330694,8206426.996734762,9.85120940208435
learn,1,10000001,201,6454,-2464.6167745776875,1226177.499789893,727389.6769359373,4968246.382081338,1226177.4997898943,8558095.308140988,63.31949758529663
dynamic_partition,2,10000002,201,2441,-4691.617022440033,2334137.8221094646,2172784.6890140427,4779460.754214977,2334137.822109469,8813220.51083904,9.92758584022522
learn,2,10000002,201,6954,-3092.70452246993,1538658.9664029535,621194.8274018336,5878696.254911328,1538658.9664029502,9279602.836140467,71.80161643028259
dynamic_partition,3,10000003,201,2742,-3269.341733857693,1626538.1760486008,1471611.5975776734,3340926.9179827347,1626538.1760486036,8024056.097149427,10.024356842041016
learn,3,10000003,201,6487,-2441.782703856262,1214817.2656001295,768802.1397553403,4293913.482810232,1214817.2656001304,8412802.588029671,62.23529243469238
dynamic_partition,4,10000004,201,2473,-4137.9728654460505,2058692.9678836032,1939895.6614729771,4232071.242888777,2058692.9678836074,7853098.552664372,8.331351518630981
learn,4,10000004,201,6763,-2767.579720891045,1376905.333776639,619686.1597023667,5246907.0788791105,1376905.333776639,8261481.000722536,41.614227533340454
dynamic_partition,5,10000005,201,2526,-5333.0437894254665,2653255.616629578,2727561.5192692922,4831965.270424239,2653255.6166295856,9146219.161113165,9.224034786224365
learn,5,10000005,201,7278,-3359.630792308161,1671458.1056259489,635181.4917109222,6335429.229907301,1671458.1056259505,9668716.17062085,46.27111315727234
dynamic_partition,6,10000006,201,2517,-3697.6258906358503,1839614.870963111,1822769.0833958518,3404747.2684911033,1839614.8709631097,7798396.661241149,8.018121480941772
learn,6,10000006,201,6513,-2411.4469411244127,1199724.8463305559,628375.1476615658,4755507.14620693,1199724.8463305535,8166142.523760923,36.72775387763977
dynamic_partition,7,10000007,201,2451,-4736.543194636802,2356489.151560602,2525461.015528054,4790649.7371968115,2356489.1515605976,8449566.66883047,8.888900995254517
learn,7,10000007,201,6804,-2943.465766178974,1464410.8289447636,641359.8719443157,5665830.886624163,1464410.8289447632,8890001.3852361,42.68891191482544
dynamic_partition,8,10000008,201,2812,-2927.2941830809445,1456365.2652144018,1408597.9091573022,2743866.138854227,1456365.2652144001,8303903.984292765,8.169421195983887
learn,8,10000008,201,7335,-2145.774848252249,1067549.6757473873,531734.2893731499,4702297.698624696,1067549.6757473873,8850647.836790726,37.645912408828735
dynamic_partition,9,10000009,201,2500,-5232.213533094858,2603091.3099974445,2669539.017065171,4727690.742434733,2603091.3099974417,8914779.633339982,9.032548427581787
learn,9,10000009,201,7137,-3202.142489711973,1593105.7162746144,705363.0824412927,6477886.327296314,1593105.7162746135,9385667.440626798,44.399500370025635
dynamic_partition,10,10000010,201,2336,-5432.578510598509,2702775.3784072143,2662079.332483354,5152104.497880343,2702775.3784072185,9091690.934384601,9.04080319404602
learn,10,10000010,201,6714,-3299.08856937103,1641337.5967020066,778945.2618580125,6468115.722048314,1641337.5967020052,9550385.901176192,43.69533824920654
dynamic_partition,11,10000011,201,2400,-4017.160696551172,1998587.4112194865,2098455.0820403714,3803048.38324649,1998587.4112194886,8150201.34738509,8.072347402572632
learn,11,10000011,201,6696,-2496.3550789379196,1241967.700964139,592170.3116940092,5360699.323869373,1241967.700964139,8574090.24758312,38.00593113899231
dynamic_partition,12,10000012,201,2495,-4316.798917917158,2147661.153192612,2027920.0502952072,4291846.265986305,2147661.153192616,8543800.085804386,8.553663730621338
learn,12,10000012,201,7108,-2895.0610041415594,1440328.857781868,647438.0535704968,5843112.485676263,1440328.8577818705,9043672.420996118,41.3524215221405
dynamic_partition,13,10000013,201,2524,-4546.262467517194,2261822.123142877,2276160.744417579,4565548.916606167,2261822.1231428823,8562936.643760595,8.52588415145874
learn,13,10000013,201,7170,-2792.8850226254735,1389495.036132077,541341.2511864589,5472449.491297068,1389495.0361320765,9027361.140371166,42.66446042060852
dynamic_partition,14,10000014,201,2529,-3608.12894791636,1795089.028814108,1727992.6136465454,3319681.2302639484,1795089.0288141095,7654406.844034037,7.887854814529419
learn,14,10000014,201,6535,-2401.282713705281,1194668.0167687968,614214.6672623402,4595534.158604489,1194668.0167687966,8093054.435837048,37.8579204082489
dynamic_partition,15,10000015,201,2599,-3851.307613346518,1916073.4394758786,1676328.0996991433,4239848.0454167565,1916073.4394758795,8789786.214431254,8.490922689437866
learn,15,10000015,201,6822,-2624.1897733536484,1305567.0514197238,641383.1175310076,4939112.049362714,1305567.0514197256,9201063.220350087,39.46881604194641
dynamic_partition,16,10000016,201,2538,-3659.9662695030797,1820878.741046308,1792481.8238856532,3873899.5686107166,1820878.7410463083,8030787.0189657975,8.275437355041504
learn,16,10000016,201,6684,-2568.390033222038,1277805.9866776303,682739.8754195194,4687203.211297863,1277805.9866776308,8431601.762985148,38.60932111740112
dynamic_partition,17,10000017,201,2629,-3943.462555405226,1961921.669355829,1906872.7818133757,3944801.049022355,1961921.6693558337,8689165.90646411,8.481658458709717
learn,17,10000017,201,6928,-2696.1679700713976,1341377.0995380091,586723.3859030302,5260401.386456471,1341377.0995380087,9116872.545068992,39.48972773551941
dynamic_partition,18,10000018,201,2498,-4871.684638670553,2423723.7008311227,2398210.6872481415,4645765.488565958,2423723.700831121,8843918.697504673,8.801043033599854
learn,18,10000018,201,7486,-3039.3455895931393,1512112.2336284313,600830.7440936067,6110678.5436061565,1512112.2336284276,9387185.28254165,45.27926445007324
dynamic_partition,19,10000019,201,2395,-4938.856585762441,2457142.5799813094,2587573.1277754707,4443589.052903506,2457142.5799813136,8422741.451176971,8.84978461265564
learn,19,10000019,201,6409,-3259.1894667995753,1621487.2969152178,805098.743393278,6039032.468204938,1621487.2969152115,8828717.063131085,42.37527394294739
dynamic_partition,20,10000020,201,2447,-3676.8275940472768,1829267.459725018,1696770.1341486461,3665146.184468871,1829267.4597250135,7865700.207226686,8.088821649551392
learn,20,10000020,201,6545,-2567.8539713934547,1277539.2892504733,639862.2118919722,5085990.664691322,1277539.289250475,8279798.33899332,38.72227168083191
dynamic_partition,21,10000021,201,2410,-3824.5839559644955,1902778.0875445271,1798340.9842134332,3971307.513436381,1902778.087544525,8571115.346293725,8.109264135360718
learn,21,10000021,201,7135,-2629.878615383855,1308397.3210864929,536091.8307788162,5072099.03723539,1308397.3210864952,9088903.62767387,40.543211936950684
dynamic_partition,22,10000022,201,2480,-5248.441863642722,2611165.1062899055,2585243.2719800547,5075878.021174938,2611165.1062899115,9107170.960627872,9.093152523040771
learn,22,10000022,201,7178,-3397.1253370726404,1690112.1079963434,757541.0192598021,5868334.835490643,1690112.1079963387,9614035.561124815,45.6545307636261
dynamic_partition,23,10000023,201,2531,-3921.2495264873255,1950870.411187725,1859771.0258043488,3702866.7323151035,1950870.4111877242,8001452.693671838,8.395940780639648
learn,23,10000023,201,6562,-2682.5867351287584,1334620.2662332153,631833.2965768324,5155488.373158206,1334620.266233213,8406144.77453899,39.802050828933716
dynamic_partition,24,10000024,201,2613,-5259.017592741315,2616426.6630553785,2499176.1722396677,5172322.617788926,2616426.6630553803,9148644.617788926,9.578909397125244
learn,24,10000024,201,6992,-3581.1342594688613,1781658.8355566482,881072.8521037628,6163326.462165157,1781658.8355566473,9613372.17159838,47.243579387664795
dynamic_partition,25,10000025,201,2636,-3606.23455405656,1794146.5443067467,1669571.5233736401,3583912.494277035,1794146.5443067462,7691313.325498083,8.363523244857788
learn,25,10000025,201,6879,-2611.583028593541,1299295.0391012658,673971.5942159335,4924562.232460332,1299295.039101264,8102063.606440457,40.45267963409424
dynamic_partition,26,10000026,201,2399,-4517.563635159951,2247544.0970945014,2176326.860682565,4274092.349071846,2247544.097094503,8448761.759211972,8.545237302780151
learn,26,10000026,201,6768,-3064.132790410695,1524444.1743336741,713829.328944907,5537152.83271047,1524444.1743336793,8918775.404938184,42.45044422149658
dynamic_partition,27,10000027,201,2527,-3651.0914529486586,1816463.409427189,1676822.1789839072,4020615.776404567,1816463.4094271932,7980891.275678777,7.977194547653198
learn,27,10000027,201,6542,-2494.994325400919,1241290.709154685,608624.8264222723,4953485.705620082,1241290.7091546862,8376475.89600685,37.50246453285217
