scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3645,-156.04056999999995,77632.12437810945,52370.0,201187.0,77632.12437810942,5325434.0,4.913558483123779
learn,0,10000000,201,5847,-147.52290000000016,73394.4776119403,43203.0,210085.0,73394.47761194038,5361025.0,56.16641354560852
dynamic_partition,1,10000001,201,3790,-109.64750999999991,54551.0,38024.0,154400.0,54550.999999999956,4952277.0,4.753679990768433
learn,1,10000001,201,5736,-107.31136000000006,53388.73631840796,34536.0,173363.0,53388.73631840799,4950684.0,52.11928462982178
dynamic_partition,2,10000002,201,3485,-157.23271999999977,78225.23383084577,54291.0,218512.0,78225.23383084565,4964825.0,4.9164652824401855
learn,2,10000002,201,5767,-160.07196000000005,79637.79104477612,51685.0,234384.0,79637.79104477615,4954703.0,55.03777241706848
dynamic_partition,3,10000003,201,3762,-92.98544000000007,46261.41293532338,34933.0,117312.0,46261.41293532342,5526470.0,4.746332883834839
learn,3,10000003,201,5604,-90.71924000000016,45133.95024875622,33249.0,115982.0,45133.95024875629,5519985.0,49.977529525756836
dynamic_partition,4,10000004,201,3731,-93.82020000000026,46676.71641791045,37103.0,115460.0,46676.716417910575,5111348.0,4.697330474853516
learn,4,10000004,201,5609,-97.59508,48554.76616915423,37903.0,128682.0,48554.76616915423,5100994.0,50.33639359474182
dynamic_partition,5,10000005,201,3565,-156.60141000000036,77911.14925373135,54574.0,209691.0,77911.14925373152,4913297.0,5.125593423843384
learn,5,10000005,201,6138,-159.69712999999985,79451.30845771145,49731.0,263816.0,79451.30845771136,4907176.0,58.40373873710632
dynamic_partition,6,10000006,201,3652,-105.45614999999982,52465.746268656716,36021.0,144769.0,52465.746268656636,5103120.0,4.614208936691284
learn,6,10000006,201,5583,-108.11259000000005,53787.35820895522,34548.0,156394.0,53787.35820895525,5100210.0,50.39231038093567
dynamic_partition,7,10000007,201,3731,-127.20317000000018,63285.159203980096,45811.0,185549.0,63285.15920398019,5020567.0,4.888538360595703
learn,7,10000007,201,6081,-123.77504000000009,61579.62189054726,38866.0,202433.0,61579.62189054731,5022581.0,56.59662485122681
dynamic_partition,8,10000008,201,3645,-97.94724999999993,48729.97512437811,39486.0,129784.0,48729.97512437807,5963401.0,4.630135536193848
learn,8,10000008,201,5356,-95.82823000000015,47675.73631840796,36398.0,114071.0,47675.73631840803,5953924.0,47.82049107551575
dynamic_partition,9,10000009,201,3594,-200.58304999999993,99792.56218905473,50806.0,354773.0,99792.56218905469,5030734.0,4.976781845092773
learn,9,10000009,201,5986,-184.86686000000043,91973.56218905473,46425.0,332693.0,91973.56218905495,5013827.0,57.34069848060608
dynamic_partition,10,10000010,201,3517,-171.51290000000006,85329.80099502488,65505.0,220208.0,85329.80099502491,4571332.0,4.904010772705078
learn,10,10000010,201,5856,-155.7837700000001,77504.3631840796,54264.0,248500.0,77504.36318407964,4572603.0,55.66756582260132
dynamic_partition,11,10000011,201,3557,-112.81068000000016,56124.71641791045,40606.0,144283.0,56124.71641791053,5410268.0,4.562769651412964
learn,11,10000011,201,5368,-114.82361999999968,57126.17910447761,38514.0,149369.0,57126.17910447745,5405682.0,48.22254037857056
dynamic_partition,12,10000012,201,3600,-123.18825000000014,61287.68656716418,42988.0,167104.0,61287.686567164244,5128622.0,4.8007519245147705
learn,12,10000012,201,5579,-119.39125000000016,59398.63184079602,40736.0,164870.0,59398.63184079609,5132897.0,50.63539147377014
dynamic_partition,13,10000013,201,3586,-139.32420999999985,69315.52736318408,51043.0,185982.0,69315.52736318401,4913364.0,4.840249300003052
learn,13,10000013,201,5766,-135.1339800000002,67230.83582089552,43674.0,190279.0,67230.83582089562,4908637.0,54.1619336605072
dynamic_partition,14,10000014,201,3672,-112.90637999999984,56172.32835820896,34967.0,157644.0,56172.328358208884,5240892.0,4.485425233840942
learn,14,10000014,201,5385,-103.68476000000021,51584.45771144279,32584.0,132654.0,51584.45771144289,5224260.0,47.7579870223999
dynamic_partition,15,10000015,201,3647,-148.10388000000006,73683.5223880597,51580.0,202984.0,73683.52238805973,5086105.0,4.869285583496094
learn,15,10000015,201,6039,-142.08887000000024,70690.98009950249,46908.0,215064.0,70690.9800995026,5089969.0,56.578537464141846
dynamic_partition,16,10000016,201,3662,-100.76668000000024,50132.67661691542,39728.0,125743.0,50132.676616915545,5009740.0,4.708598852157593
learn,16,10000016,201,5613,-96.19925999999997,47860.32835820896,36295.0,116940.0,47860.328358208935,5006609.0,50.68730044364929
dynamic_partition,17,10000017,201,3603,-120.51216999999998,59956.30348258706,45942.0,153822.0,59956.303482587056,5222912.0,4.7788848876953125
learn,17,10000017,201,5650,-115.32223000000027,57374.24378109453,42934.0,160722.0,57374.243781094665,5225918.0,51.7261757850647
dynamic_partition,18,10000018,201,3547,-136.2845800000006,67803.2736318408,53090.0,165145.0,67803.27363184109,5094462.0,4.958448886871338
learn,18,10000018,201,5905,-135.87545999999986,67599.73134328358,45662.0,181564.0,67599.73134328352,5095346.0,54.67027950286865
dynamic_partition,19,10000019,201,3660,-134.94055000000046,67134.60199004975,49576.0,178301.0,67134.60199004998,4614577.0,4.896956443786621
learn,19,10000019,201,5738,-124.90312999999982,62140.86069651741,45017.0,189379.0,62140.86069651732,4606384.0,53.6908164024353
dynamic_partition,20,10000020,201,3628,-108.96403000000001,54210.96019900498,41408.0,137706.0,54210.96019900498,4935695.0,4.6436522006988525
learn,20,10000020,201,5556,-105.81550000000017,52644.52736318408,40020.0,132874.0,52644.52736318416,4933522.0,49.996766567230225
dynamic_partition,21,10000021,201,3464,-133.16390000000007,66250.69651741293,45514.0,166641.0,66250.69651741297,5377131.0,4.770704030990601
learn,21,10000021,201,5546,-134.98895999999996,67158.68656716419,43112.0,172539.0,67158.68656716416,5357532.0,51.43338465690613
dynamic_partition,22,10000022,201,3634,-158.34396000000032,78778.0895522388,66357.0,196861.0,78778.08955223896,4643613.0,5.1460044384002686
learn,22,10000022,201,6067,-159.66543000000033,79435.53731343284,56870.0,236180.0,79435.537313433,4650279.0,57.592644929885864
dynamic_partition,23,10000023,201,3725,-98.24477000000013,48877.99502487562,38194.0,124948.0,48877.99502487569,5547177.0,4.755112886428833
learn,23,10000023,201,5640,-99.67733000000011,49590.71144278607,38256.0,138526.0,49590.71144278612,5547193.0,51.04965853691101
dynamic_partition,24,10000024,201,3757,-165.62898999999987,82402.48258706467,60093.0,258231.0,82402.48258706462,4580786.0,5.296312570571899
learn,24,10000024,201,6127,-153.25768999999988,76247.60696517413,48568.0,237771.0,76247.60696517407,4568593.0,58.38725519180298
dynamic_partition,25,10000025,201,3855,-92.9523900000002,46244.97014925373,41855.0,106990.0,46244.97014925382,4982090.0,4.744348526000977
learn,25,10000025,201,5895,-88.77318999999991,44165.76616915423,36856.0,103813.0,44165.76616915418,4978878.0,52.41134572029114
dynamic_partition,26,10000026,201,3584,-155.9713899999999,77597.70646766169,46949.0,218473.0,77597.70646766164,4804564.0,4.909595489501953
learn,26,10000026,201,5858,-151.96302000000006,75603.49253731343,45284.0,233383.0,75603.49253731346,4861771.0,54.50343561172485
dynamic_partition,27,10000027,201,3607,-97.54576000000009,48530.22885572139,36236.0,124861.0,48530.22885572144,5045656.0,4.621194839477539
learn,27,10000027,201,5558,-98.60360000000001,49056.517412935325,36236.0,124300.0,49056.51741293533,5037115.0,49.80670118331909
dynamic_partition,28,10000028,201,3756,-161.66365000000005,80429.67661691543,59035.0,193201.0,80429.67661691544,5123116.0,5.4336628913879395
learn,28,10000028,201,6454,-155.87373000000005,77549.11940298507,57764.0,223254.0,77549.1194029851,5111970.0,61.28140568733215
dynamic_partition,29,10000029,201,3615,-124.98086999999995,62179.53731343283,47782.0,171952.0,62179.53731343281,5131212.0,4.6585071086883545
learn,29,10000029,201,5607,-125.03082999999995,62204.39303482587,43266.0,183106.0,62204.393034825844,5133384.0,50.88456463813782
