scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3444,-193.3912700000002,96214.56218905473,76091.0,241351.0,96214.56218905482,5329301.0,5.081208944320679
learn,0,10000000,201,6043,-199.1584600000003,99083.81094527364,71318.0,282205.0,99083.81094527378,5327731.0,19.445369958877563
dynamic_partition,1,10000001,201,3605,-246.69117000000045,122731.92537313433,98960.0,288374.0,122731.92537313455,5554286.0,5.595114707946777
learn,1,10000001,201,6629,-250.4064700000004,124580.33333333333,91571.0,278832.0,124580.33333333353,5598804.0,21.200314044952393
dynamic_partition,2,10000002,201,3505,-165.64355000000035,82409.7263681592,62270.0,192398.0,82409.72636815938,5568591.0,5.097822666168213
learn,2,10000002,201,6046,-167.51978000000008,83343.17412935324,63284.0,197051.0,83343.17412935327,5585507.0,19.00809955596924
dynamic_partition,3,10000003,201,3666,-198.7566099999996,98883.8855721393,84056.0,250033.0,98883.8855721391,5452278.0,5.570591926574707
learn,3,10000003,201,6418,-196.7445100000002,97882.8407960199,78360.0,220253.0,97882.84079602,5451961.0,20.62538456916809
dynamic_partition,4,10000004,201,3458,-297.87655999999953,148197.2935323383,103985.0,404525.0,148197.29353233808,5166082.0,5.417989015579224
learn,4,10000004,201,6394,-270.6835599999998,134668.43781094527,86575.0,426249.0,134668.43781094515,5190957.0,21.217868328094482
dynamic_partition,5,10000005,201,3543,-167.9632699999998,83563.815920398,62102.0,215732.0,83563.81592039792,5492570.0,5.232654571533203
learn,5,10000005,201,6152,-174.31936000000005,86726.04975124379,62765.0,220285.0,86726.0497512438,5487064.0,19.461945056915283
dynamic_partition,6,10000006,201,3461,-186.6754800000005,92873.37313432836,61221.0,243593.0,92873.37313432862,5175055.0,4.8384082317352295
learn,6,10000006,201,5674,-178.9431099999997,89026.42288557214,61439.0,287428.0,89026.42288557198,5171316.0,17.295842170715332
dynamic_partition,7,10000007,201,3268,-521.8232600000003,259613.56218905473,187676.0,756383.0,259613.5621890549,5112348.0,5.42896032333374
learn,7,10000007,201,6251,-425.07840000000056,211481.79104477612,106966.0,819001.0,211481.7910447764,5126022.0,22.269389629364014
dynamic_partition,8,10000008,201,3533,-188.2743700000002,93668.8407960199,74789.0,228142.0,93668.84079602,5883763.0,5.0444419384002686
learn,8,10000008,201,6005,-195.38686000000052,97207.39303482587,71909.0,258682.0,97207.39303482613,5874750.0,18.901033401489258
dynamic_partition,9,10000009,201,3430,-204.9163000000001,101948.40796019901,72584.0,297215.0,101948.40796019904,5176208.0,4.979522943496704
learn,9,10000009,201,5838,-200.10398999999967,99554.22388059701,66924.0,298825.0,99554.22388059685,5166247.0,18.49811601638794
dynamic_partition,10,10000010,201,3311,-497.7479100000011,247635.776119403,160330.0,668963.0,247635.77611940354,4448608.0,5.321442365646362
learn,10,10000010,201,6335,-362.70641000000006,180450.9502487562,93911.0,544964.0,180450.95024875624,4660929.0,22.62242031097412
dynamic_partition,11,10000011,201,3307,-240.87113999999977,119836.3880597015,86469.0,296272.0,119836.38805970138,5091864.0,5.049233436584473
learn,11,10000011,201,5919,-235.1328,116981.49253731343,79385.0,342217.0,116981.49253731343,5080288.0,19.20577907562256
dynamic_partition,12,10000012,201,3210,-689.9911000000001,343279.15422885574,309257.0,709856.0,343279.15422885574,5092077.0,5.387622356414795
learn,12,10000012,201,6224,-545.9761299999999,271629.91542288556,135104.0,858401.0,271629.91542288556,5400650.0,23.572635412216187
dynamic_partition,13,10000013,201,3345,-368.9723200000002,183568.3184079602,137467.0,537384.0,183568.31840796032,4872189.0,5.264009952545166
learn,13,10000013,201,6247,-357.31667,177769.48756218905,101273.0,594758.0,177769.48756218905,4885686.0,21.505452156066895
dynamic_partition,14,10000014,201,3378,-287.9163200000005,143241.9502487562,94444.0,400336.0,143241.95024875645,4867124.0,4.990367889404297
learn,14,10000014,201,5995,-274.64812999999964,136640.86069651743,76823.0,423267.0,136640.86069651722,4865069.0,20.31663465499878
dynamic_partition,15,10000015,201,3325,-271.8709099999996,135259.1592039801,109856.0,363103.0,135259.15920397989,5244103.0,5.134782791137695
learn,15,10000015,201,5969,-291.68275,145115.7960199005,97248.0,443826.0,145115.7960199005,5249296.0,19.887035131454468
dynamic_partition,16,10000016,201,3356,-236.35439999999983,117589.25373134328,92981.0,301424.0,117589.2537313432,5171222.0,5.030604362487793
learn,16,10000016,201,5948,-218.51755000000045,108715.19900497512,79949.0,287594.0,108715.19900497535,5178339.0,18.879594802856445
dynamic_partition,17,10000017,201,3378,-364.9798000000007,181581.99004975124,135109.0,449972.0,181581.9900497516,5420067.0,5.355514764785767
learn,17,10000017,201,6174,-339.2448299999998,168778.5223880597,104410.0,497628.0,168778.5223880596,5407919.0,21.024851083755493
dynamic_partition,18,10000018,201,3569,-194.51103999999984,96771.6616915423,72292.0,245915.0,96771.66169154222,5069017.0,5.371359825134277
learn,18,10000018,201,6403,-205.69280000000072,102334.7263681592,69569.0,291854.0,102334.72636815955,5065666.0,20.322148084640503
dynamic_partition,19,10000019,201,3619,-208.00344000000013,103484.29850746269,82739.0,221110.0,103484.29850746274,5622132.0,5.511722087860107
learn,19,10000019,201,6651,-223.17929000000032,111034.47263681592,78815.0,265382.0,111034.47263681609,5603194.0,21.164682865142822
dynamic_partition,20,10000020,201,3284,-215.72011999999987,107323.44278606965,85198.0,271276.0,107323.44278606957,5109329.0,5.066517353057861
learn,20,10000020,201,6004,-228.95338000000018,113907.15422885572,80109.0,304782.0,113907.15422885581,5107930.0,19.335479974746704
dynamic_partition,21,10000021,201,3338,-203.2113999999999,101100.19900497512,81088.0,229431.0,101100.19900497509,5315573.0,5.086043834686279
learn,21,10000021,201,6008,-202.44116000000022,100716.99502487562,76246.0,244744.0,100716.99502487574,5307659.0,19.392918586730957
dynamic_partition,22,10000022,201,3481,-293.46453000000065,146002.25373134328,119049.0,335757.0,146002.2537313436,5182370.0,5.591587781906128
learn,22,10000022,201,6545,-288.6476000000009,143605.7711442786,105547.0,417917.0,143605.77114427908,5203176.0,22.198411464691162
dynamic_partition,23,10000023,201,3511,-218.6836700000002,108797.84577114428,82078.0,270481.0,108797.84577114439,5725326.0,5.331593990325928
learn,23,10000023,201,6234,-231.66924000000043,115258.32835820895,85891.0,285006.0,115258.32835820915,5724847.0,19.91600799560547
dynamic_partition,24,10000024,201,3369,-539.1391500000004,268228.4328358209,152790.0,703229.0,268228.4328358211,5087663.0,5.437532901763916
learn,24,10000024,201,6484,-382.5751300000005,190335.8855721393,95740.0,512375.0,190335.88557213955,5326752.0,23.02863383293152
dynamic_partition,25,10000025,201,3520,-238.72700000000034,118769.65174129354,81431.0,315233.0,118769.6517412937,5452738.0,5.183676481246948
learn,25,10000025,201,5932,-232.98722999999995,115914.04477611941,74199.0,323829.0,115914.04477611938,5433488.0,19.4400897026062
dynamic_partition,26,10000026,201,3503,-222.76220999999993,110826.97014925373,95055.0,261998.0,110826.9701492537,5266136.0,5.118218660354614
learn,26,10000026,201,6136,-224.11725999999987,111501.12437810945,80103.0,312690.0,111501.1243781094,5255415.0,19.677574396133423
dynamic_partition,27,10000027,201,3417,-223.97551000000027,111430.60199004975,85439.0,278932.0,111430.60199004988,4741934.0,5.071914434432983
learn,27,10000027,201,6156,-221.92466,110410.27860696518,75739.0,286797.0,110410.27860696518,4781291.0,20.2266104221344
dynamic_partition,28,10000028,201,3516,-314.01524999999975,156226.49253731343,117038.0,367294.0,156226.49253731332,4999110.0,5.791317939758301
