scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3656,-155.17665000000042,77202.31343283581,48441.0,224786.0,77202.31343283603,5326613.0,4.8721535205841064
learn,0,10000000,201,5829,-152.36372000000006,75802.84577114428,44749.0,225986.0,75802.8457711443,5320671.0,56.12186312675476
dynamic_partition,1,10000001,201,3785,-109.10143999999994,54279.32338308458,35857.0,155458.0,54279.32338308455,4952649.0,4.768667936325073
learn,1,10000001,201,5655,-105.9661800000001,52719.49253731343,36034.0,156980.0,52719.492537313476,4942981.0,51.78497791290283
dynamic_partition,2,10000002,201,3479,-157.73783000000006,78476.53233830846,54857.0,226027.0,78476.53233830849,4966256.0,4.833508491516113
learn,2,10000002,201,5813,-156.89686999999967,78058.14427860697,52334.0,224145.0,78058.1442786068,4955498.0,55.18264412879944
dynamic_partition,3,10000003,201,3775,-95.05041,47288.76119402985,35138.0,127825.0,47288.76119402985,5526889.0,4.701944589614868
learn,3,10000003,201,5837,-92.76106000000013,46149.78109452737,32766.0,120150.0,46149.781094527425,5528620.0,52.04546809196472
dynamic_partition,4,10000004,201,3730,-95.52177999999985,47523.2736318408,37317.0,118581.0,47523.27363184072,5111114.0,4.6684889793396
learn,4,10000004,201,5549,-94.39282000000004,46961.60199004975,38070.0,124871.0,46961.60199004977,5102270.0,49.598053216934204
dynamic_partition,5,10000005,201,3569,-156.2180099999995,77720.40298507463,55265.0,216140.0,77720.40298507438,4913830.0,5.02812123298645
learn,5,10000005,201,6192,-161.63771000000034,80416.77114427861,51346.0,259354.0,80416.77114427877,4906801.0,58.88676905632019
dynamic_partition,6,10000006,201,3668,-107.53304000000011,53499.02487562189,37802.0,141268.0,53499.024875621944,5099966.0,4.511087894439697
learn,6,10000006,201,5623,-105.50851999999988,52491.800995024874,32594.0,149005.0,52491.80099502481,5092050.0,50.97947669029236
dynamic_partition,7,10000007,201,3763,-127.51672000000013,63441.154228855725,46650.0,188346.0,63441.15422885578,5020272.0,4.905310153961182
learn,7,10000007,201,6003,-124.93672999999991,62157.57711442786,41486.0,201372.0,62157.57711442781,5021984.0,56.04799032211304
dynamic_partition,8,10000008,201,3644,-98.6736000000001,49091.34328358209,40527.0,129855.0,49091.343283582144,5966435.0,4.678266286849976
learn,8,10000008,201,5340,-94.33679000000006,46933.7263681592,37594.0,126583.0,46933.72636815923,5946654.0,46.77461528778076
dynamic_partition,9,10000009,201,3596,-200.20864000000068,99606.28855721393,50501.0,366620.0,99606.28855721427,5031008.0,4.977086305618286
learn,9,10000009,201,5922,-179.3710400000005,89239.32338308457,44627.0,296290.0,89239.32338308483,5016563.0,56.20303821563721
dynamic_partition,10,10000010,201,3507,-170.02997000000036,84592.0248756219,64738.0,228423.0,84592.02487562208,4571595.0,4.946568012237549
learn,10,10000010,201,5959,-156.18298000000038,77702.9751243781,55125.0,254756.0,77702.97512437831,4569825.0,56.578057527542114
dynamic_partition,11,10000011,201,3552,-112.88325999999984,56160.82587064677,40379.0,144071.0,56160.82587064668,5410361.0,4.527077913284302
learn,11,10000011,201,5474,-113.42449,56430.09452736318,37684.0,149970.0,56430.09452736318,5406341.0,48.85538959503174
dynamic_partition,12,10000012,201,3588,-123.56291999999975,61474.08955223881,42993.0,165288.0,61474.089552238685,5128118.0,4.779644966125488
learn,12,10000012,201,5458,-118.79328999999991,59101.13930348259,40487.0,156771.0,59101.13930348254,5128421.0,49.5273118019104
