scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3370,-274.9137700000002,136773.01990049751,99974.0,367356.0,136773.01990049763,5345626.0,5.366509675979614
learn,0,10000000,201,6203,-275.6602899999998,137144.42288557213,92801.0,415527.0,137144.42288557204,5340791.0,20.654845714569092
dynamic_partition,1,10000001,201,3583,-312.752920000001,155598.46766169154,136429.0,328866.0,155598.46766169203,5625990.0,5.892256021499634
learn,1,10000001,201,6753,-306.4081300000001,152441.85572139305,107926.0,379745.0,152441.85572139308,5700774.0,22.635996103286743
dynamic_partition,2,10000002,201,3439,-221.6469000000005,110272.0895522388,91034.0,257328.0,110272.08955223905,5606064.0,5.528412103652954
learn,2,10000002,201,6275,-226.03884000000028,112457.13432835821,83857.0,297961.0,112457.13432835834,5632287.0,20.567225694656372
dynamic_partition,3,10000003,201,3615,-246.37332000000004,122573.79104477612,105776.0,290751.0,122573.79104477614,5458903.0,5.905503749847412
learn,3,10000003,201,6785,-251.78968999999998,125268.50248756219,99206.0,315388.0,125268.50248756217,5482958.0,22.33471989631653
dynamic_partition,4,10000004,201,3441,-376.58368000000104,187355.06467661692,142095.0,483900.0,187355.06467661745,5223706.0,5.637042284011841
learn,4,10000004,201,6597,-363.85563999999994,181022.7064676617,106282.0,561992.0,181022.70646766166,5266468.0,23.153605699539185
dynamic_partition,5,10000005,201,3494,-204.04802000000004,101516.42786069652,79593.0,248797.0,101516.42786069654,5527091.0,5.493617057800293
learn,5,10000005,201,6468,-217.8958600000005,108405.90049751244,79449.0,296041.0,108405.9004975127,5531974.0,20.491153478622437
dynamic_partition,6,10000006,201,3334,-264.8730299999998,131777.62686567163,81049.0,398439.0,131777.62686567154,5197535.0,5.058772563934326
learn,6,10000006,201,5841,-247.11071000000038,122940.65174129354,71863.0,375456.0,122940.65174129372,5186744.0,19.211631059646606
dynamic_partition,7,10000007,201,3157,-754.0660100000007,375157.21890547266,265152.0,985705.0,375157.218905473,5185256.0,5.647561550140381
learn,7,10000007,201,6397,-607.3482500000001,302163.3084577114,148010.0,1058200.0,302163.30845771154,5358113.0,25.212701082229614
dynamic_partition,8,10000008,201,3442,-269.1285299999999,133894.79104477612,95919.0,370980.0,133894.79104477607,5884856.0,5.377520799636841
learn,8,10000008,201,6037,-276.57319000000047,137598.60199004976,91694.0,370082.0,137598.60199005,5873079.0,20.120102643966675
dynamic_partition,9,10000009,201,3375,-251.77142999999967,125259.41791044777,95787.0,324871.0,125259.41791044759,5191121.0,5.37493109703064
learn,9,10000009,201,6033,-251.99066999999985,125368.49253731343,89824.0,323263.0,125368.49253731336,5183874.0,19.877485036849976
dynamic_partition,10,10000010,201,3182,-809.1700700000006,402572.17412935325,272708.0,1183985.0,402572.17412935355,4887479.0,5.817325830459595
learn,10,10000010,201,6622,-565.39398,281290.53731343284,130975.0,1137366.0,281290.5373134329,5211085.0,25.895225286483765
dynamic_partition,11,10000011,201,3216,-386.04577000000023,192062.5721393035,147669.0,474988.0,192062.5721393036,5117241.0,5.291293621063232
learn,11,10000011,201,6111,-379.3289000000003,188720.8457711443,104295.0,651755.0,188720.84577114444,5265246.0,21.66244077682495
dynamic_partition,12,10000012,201,3102,-959.9164300000004,477570.3631840796,409963.0,1053312.0,477570.3631840798,5378665.0,5.76681923866272
learn,12,10000012,201,6311,-698.6691900000008,347596.6119402985,162393.0,1250457.0,347596.61194029887,5730525.0,26.05497670173645
dynamic_partition,13,10000013,201,3199,-612.0115000000009,304483.3333333333,219162.0,742801.0,304483.3333333338,4932642.0,5.52241849899292
learn,13,10000013,201,6265,-510.7107199999998,254084.93532338308,119139.0,917105.0,254084.93532338296,5277296.0,24.318307161331177
dynamic_partition,14,10000014,201,3306,-419.74283000000077,208827.27860696518,153501.0,561369.0,208827.27860696556,4884289.0,5.367348670959473
learn,14,10000014,201,6291,-371.85121000000055,185000.60199004976,99908.0,658473.0,185000.60199005003,4877625.0,22.405778408050537
dynamic_partition,15,10000015,201,3201,-452.70087999999964,225224.3184079602,161667.0,553466.0,225224.31840796,5305782.0,5.419159650802612
learn,15,10000015,201,6111,-396.86787000000027,197446.7014925373,111471.0,730811.0,197446.70149253745,5511486.0,21.72778558731079
dynamic_partition,16,10000016,201,3302,-328.51045000000073,163438.03482587065,127390.0,378072.0,163438.03482587103,5278229.0,5.341176748275757
learn,16,10000016,201,6178,-304.394069999999,151439.83582089553,109413.0,397646.0,151439.835820895,5346464.0,20.574718475341797
dynamic_partition,17,10000017,201,3336,-519.2243199999996,258320.55721393035,213476.0,602220.0,258320.55721393012,5472208.0,5.557753801345825
learn,17,10000017,201,6243,-486.92407000000094,242250.78109452737,135136.0,824349.0,242250.78109452783,5568744.0,23.23063015937805
dynamic_partition,18,10000018,201,3534,-294.9480600000007,146740.32835820896,108807.0,362379.0,146740.32835820928,5126685.0,5.783999919891357
learn,18,10000018,201,6515,-291.0516400000007,144801.81094527364,93826.0,413259.0,144801.810945274,5148719.0,22.112080812454224
dynamic_partition,19,10000019,201,3535,-338.4748700000003,168395.45771144278,138989.0,390688.0,168395.45771144293,5630221.0,5.769947528839111
learn,19,10000019,201,6612,-365.8623300000014,182021.05970149254,102743.0,616752.0,182021.05970149324,5603660.0,23.215701818466187
dynamic_partition,20,10000020,201,3252,-297.9512900000008,148234.47263681592,107088.0,401606.0,148234.47263681632,5137284.0,5.37281346321106
learn,20,10000020,201,6169,-309.4110900000004,153935.8656716418,99161.0,468564.0,153935.865671642,5138726.0,20.886136293411255
dynamic_partition,21,10000021,201,3279,-292.9862299999996,145764.2935323383,111293.0,341714.0,145764.2935323381,5357144.0,5.37582540512085
learn,21,10000021,201,6340,-297.3226200000005,147921.7014925373,107901.0,396291.0,147921.70149253754,5441459.0,21.308534145355225
dynamic_partition,22,10000022,201,3343,-456.8442399999992,227285.69154228855,187885.0,520447.0,227285.69154228814,5224873.0,5.601606607437134
learn,22,10000022,201,6618,-464.1477600000008,230919.28358208956,142591.0,704878.0,230919.28358208996,5353459.0,24.56529998779297
dynamic_partition,23,10000023,201,3474,-318.8030899999995,158608.5024875622,129177.0,397491.0,158608.50248756193,5783736.0,5.645431280136108
learn,23,10000023,201,6385,-321.3536500000001,159877.43781094527,115344.0,463468.0,159877.43781094532,5808272.0,21.680848121643066
dynamic_partition,24,10000024,201,3308,-770.1006400000012,383134.6467661692,228727.0,1062670.0,383134.64676616975,5332872.0,5.892329454421997
learn,24,10000024,201,6508,-524.7041699999994,261046.85074626867,119144.0,1281575.0,261046.85074626835,5587791.0,24.67839479446411
dynamic_partition,25,10000025,201,3437,-327.02496000000076,162698.98507462686,117202.0,450041.0,162698.98507462724,5478135.0,5.456594228744507
learn,25,10000025,201,6445,-301.27928000000037,149890.18905472636,95275.0,471011.0,149890.18905472656,5466973.0,21.769065380096436
dynamic_partition,26,10000026,201,3400,-345.7303200000006,172005.1343283582,137866.0,416419.0,172005.13432835852,5301959.0,5.580942869186401
learn,26,10000026,201,6464,-338.31999000000036,168318.40298507462,118146.0,451224.0,168318.40298507482,5326241.0,22.147424697875977
dynamic_partition,27,10000027,201,3323,-303.2587400000008,150874.99502487562,127638.0,357848.0,150874.995024876,4818898.0,5.466275691986084
learn,27,10000027,201,6454,-300.71249,149608.2039800995,108102.0,384002.0,149608.2039800995,4872352.0,21.871363878250122
dynamic_partition,28,10000028,201,3426,-479.1191400000001,238367.73134328358,199329.0,531552.0,238367.7313432836,5145037.0,5.912073373794556
learn,28,10000028,201,6650,-474.809130000001,236223.44776119402,135947.0,690927.0,236223.44776119452,5381159.0,24.779635190963745
dynamic_partition,29,10000029,201,3304,-475.4409100000002,236537.76616915423,175437.0,652935.0,236537.76616915435,5027386.0,5.546710014343262
learn,29,10000029,201,6671,-436.60011999999995,217213.99004975124,108642.0,857013.0,217213.9900497512,5261459.0,24.015177011489868
