scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,2308,-11271.288501458068,5607606.219630873,6040812.44985557,9671321.941038813,5607606.219630879,14534635.400728244,9.574003458023071
learn,0,10000000,201,5891,-8020.530720890337,3990313.791487735,2732419.591995892,11351668.80804533,3990313.79148773,14933442.494095528,47.12695932388306
dynamic_partition,1,10000001,201,2412,-9681.026793879344,4816431.240735986,4886737.595742167,8799323.248235403,4816431.240735992,13821088.719129005,9.471309185028076
learn,1,10000001,201,5372,-7723.0395482243675,3842308.2329474455,2868938.7129545584,10017773.554855142,3842308.232947447,14138804.216042943,42.86607623100281
dynamic_partition,2,10000002,201,2265,-11192.935242477986,5568624.498745264,5738419.86156451,9949468.068769738,5568624.498745267,14490369.08772434,9.218777179718018
learn,2,10000002,201,5777,-8074.012506179896,4016921.6448656255,2643749.7291369177,10985216.513407947,4016921.6448656204,14822625.10698967,45.14829063415527
dynamic_partition,3,10000003,201,2357,-9789.981739892812,4870637.681538705,5208447.481402554,8256951.268225789,4870637.681538712,13547749.445861585,9.693053722381592
learn,3,10000003,201,5354,-7901.979345879734,3931333.007900364,3294868.0480912095,9297113.238430249,3931333.007900365,13867167.955487316,43.34267330169678
dynamic_partition,4,10000004,201,2313,-10609.616678687542,5278416.258053499,5597138.804564001,9119932.117143841,5278416.258053503,13321083.53272957,9.256486654281616
learn,4,10000004,201,5540,-8158.055669596354,4058734.163978288,2821591.4820657624,10799020.080121065,4058734.1639782856,13623459.410589168,45.757424116134644
dynamic_partition,5,10000005,201,2318,-12073.396218050259,6006664.785099636,6472715.837854024,10312791.943368647,6006664.785099631,15000833.8165935,9.836588621139526
learn,5,10000005,201,6329,-8436.691079659593,4197358.746099306,2508017.453758088,11509197.738127323,4197358.7460993,15455267.450044643,50.400848627090454
dynamic_partition,6,10000006,201,2309,-9898.241627858706,4924498.32231776,5238046.85607025,8176041.131246766,4924498.322317764,13100605.626559163,8.8103506565094
learn,6,10000006,201,5550,-7039.1953477949055,3502087.237708911,2452584.504537171,9767871.51449,3502087.2377089085,13445401.79197313,42.08371019363403
dynamic_partition,7,10000007,201,2322,-11491.560599119002,5717194.327919931,5941658.826474877,9827133.854812786,5717194.327919902,14127304.21366409,9.756133079528809
learn,7,10000007,201,5848,-8096.448813029123,4028083.986581647,2779962.8432478337,11197450.947393,4028083.986581653,14501546.567836372,47.041210651397705
dynamic_partition,8,10000008,201,2285,-9589.834042699616,4771061.712785876,4785583.232492365,8081572.319015462,4771061.712785878,13908691.087998694,9.016592264175415
learn,8,10000008,201,6084,-6584.310892953538,3275776.563658474,1907976.957042018,10187765.643774435,3275776.5636584773,14308361.554721717,43.64166831970215
dynamic_partition,9,10000009,201,2386,-11741.817983204559,5841700.4891565,6367164.876069823,10203922.975552915,5841700.489156497,14668764.762095062,9.82467246055603
learn,9,10000009,201,6409,-7851.366519427103,3906152.497227412,2504795.2601560857,11905174.481908016,3906152.497227415,15143047.416351661,49.352240562438965
