scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3649,-155.8043900000001,77514.62189054726,47980.0,212300.0,77514.6218905473,5325289.0,4.83524227142334
learn,0,10000000,201,5912,-146.57658999999978,72923.67661691543,42543.0,217853.0,72923.67661691531,5320070.0,55.596935749053955
dynamic_partition,1,10000001,201,3784,-109.76945000000015,54611.666666666664,36537.0,157284.0,54611.666666666744,4953684.0,4.754286050796509
learn,1,10000001,201,5704,-106.61277999999996,53041.18407960199,34327.0,170222.0,53041.184079601975,4945599.0,50.853485107421875
dynamic_partition,2,10000002,201,3485,-157.55521000000007,78385.67661691543,58200.0,218121.0,78385.67661691546,4967919.0,4.825723886489868
learn,2,10000002,201,5795,-157.39319000000037,78305.06965174129,52429.0,238545.0,78305.06965174148,4957505.0,54.231751441955566
dynamic_partition,3,10000003,201,3774,-91.83955000000007,45691.3184079602,33993.0,113493.0,45691.318407960236,5527466.0,4.63698148727417
learn,3,10000003,201,5651,-89.11533999999999,44335.99004975124,32892.0,120936.0,44335.990049751235,5514600.0,49.55590867996216
dynamic_partition,4,10000004,201,3730,-94.42894000000014,46979.572139303484,36859.0,124393.0,46979.57213930355,5110343.0,4.63373064994812
learn,4,10000004,201,5730,-98.31026999999983,48910.58208955224,39435.0,132160.0,48910.582089552154,5101403.0,50.63710021972656
dynamic_partition,5,10000005,201,3566,-156.70294000000032,77961.6616915423,56254.0,216817.0,77961.66169154245,4912933.0,5.0118491649627686
learn,5,10000005,201,6136,-162.3584200000002,80775.33333333333,51941.0,251402.0,80775.33333333343,4911043.0,57.39906716346741
dynamic_partition,6,10000006,201,3672,-107.64756999999972,53556.00497512438,38000.0,144373.0,53556.00497512424,5099176.0,4.510056972503662
learn,6,10000006,201,5536,-103.32160999999985,51403.78606965174,33901.0,154166.0,51403.786069651665,5099594.0,49.152390003204346
dynamic_partition,7,10000007,201,3782,-128.04675000000003,63704.850746268654,45240.0,182611.0,63704.850746268676,5020669.0,4.821312665939331
learn,7,10000007,201,6027,-126.08198000000004,62727.35323383084,38101.0,192148.0,62727.353233830865,5021103.0,55.29266929626465
dynamic_partition,8,10000008,201,3639,-98.81810000000021,49163.23383084577,40011.0,129780.0,49163.233830845886,5964892.0,4.642003297805786
learn,8,10000008,201,5302,-93.70270000000001,46618.25870646766,36401.0,116592.0,46618.25870646766,5944789.0,46.20064902305603
dynamic_partition,9,10000009,201,3603,-199.09772999999993,99053.59701492537,50305.0,360038.0,99053.59701492534,5031488.0,4.910220623016357
