scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3667,-157.15867000000057,78188.39303482587,51086.0,224229.0,78188.39303482616,5325627.0,4.852467060089111
learn,0,10000000,201,5770,-149.60849000000007,74432.08457711442,41627.0,200050.0,74432.08457711447,5321599.0,54.6689236164093
dynamic_partition,1,10000001,201,3794,-110.37432999999996,54912.60199004975,37373.0,156465.0,54912.601990049734,4951926.0,4.746383190155029
learn,1,10000001,201,5669,-105.77156000000035,52622.666666666664,35741.0,149281.0,52622.666666666846,4945068.0,50.448915004730225
dynamic_partition,2,10000002,201,3482,-157.41964999999973,78318.23383084577,59961.0,221030.0,78318.23383084564,4965909.0,4.849480390548706
learn,2,10000002,201,5813,-155.79531999999998,77510.10945273632,51990.0,211332.0,77510.1094527363,4955229.0,54.6189239025116
dynamic_partition,3,10000003,201,3779,-92.12771000000005,45834.6815920398,34678.0,115226.0,45834.68159203983,5526923.0,4.682073593139648
learn,3,10000003,201,5655,-90.37509000000016,44962.73134328358,33072.0,118981.0,44962.73134328365,5520314.0,50.06306719779968
dynamic_partition,4,10000004,201,3724,-94.12917000000013,46830.432835820895,36352.0,122589.0,46830.43283582096,5111482.0,4.609464168548584
learn,4,10000004,201,5605,-97.63142000000009,48572.845771144275,38873.0,129011.0,48572.845771144326,5098393.0,49.864036083221436
dynamic_partition,5,10000005,201,3578,-161.64663999999988,80421.21393034825,58592.0,217134.0,80421.2139303482,4912810.0,5.01070237159729
learn,5,10000005,201,6078,-161.88511000000014,80539.85572139303,52985.0,257170.0,80539.8557213931,4909623.0,57.36639976501465
dynamic_partition,6,10000006,201,3658,-104.88296000000015,52180.57711442786,35342.0,138270.0,52180.577114427935,5099416.0,4.5287926197052
learn,6,10000006,201,5551,-106.55407000000012,53011.97512437811,34943.0,144990.0,53011.97512437817,5099405.0,49.849422454833984
dynamic_partition,7,10000007,201,3761,-128.45933000000014,63910.114427860695,46021.0,175905.0,63910.11442786076,5020381.0,4.82323956489563
learn,7,10000007,201,6051,-125.8930900000001,62633.37810945274,41084.0,213645.0,62633.37810945278,5022294.0,55.540525913238525
dynamic_partition,8,10000008,201,3645,-97.69406999999981,48604.014925373136,39761.0,128883.0,48604.01492537304,5962057.0,4.657153129577637
learn,8,10000008,201,5386,-94.64545000000008,47087.28855721393,36486.0,114049.0,47087.288557213964,5949706.0,47.09424352645874
dynamic_partition,9,10000009,201,3597,-200.36129000000025,99682.23383084577,51311.0,353034.0,99682.2338308459,5031164.0,4.8782525062561035
learn,9,10000009,201,5937,-179.89619000000005,89500.59203980099,49037.0,331588.0,89500.59203980102,5015963.0,56.482938051223755
dynamic_partition,10,10000010,201,3491,-168.64549000000034,83903.22885572139,62483.0,240246.0,83903.22885572157,4571226.0,4.895751476287842
