curve,magnitude,rossi_mean_total_cost,comparator_mean_total_cost,delta_comparator_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,rossi_sla_violation_rate,comparator_sla_violation_rate,rossi_action_churn,comparator_action_churn,block_L5_ci_low,block_L5_ci_high,block_L5_p_less,block_L5_p_greater,block_L10_ci_low,block_L10_ci_high,block_L10_p_less,block_L10_p_greater,holm_less_curve,holm_greater_curve
p1_threshold,0,204.0891,118.2825,-85.80660000000002,-89.868705,-81.88973124999998,9.99990000099999e-06,1.0,0.031808714488044655,0.0003915687744730485,1506.1333333333334,55.5,-89.72700241666665,-83.73429241666665,9.99990000099999e-06,1.0,-88.02635466666666,-84.48501,9.99990000099999e-06,1.0,6.999930000699993e-05,1.0
p1_threshold,1,138.01702666666668,118.74780000000003,-19.26922666666666,-23.952889749999986,-14.903579416666657,9.99990000099999e-06,1.0,0.012288594518037156,0.00039990002499375166,1064.0666666666666,112.53333333333333,-23.153337583333325,-15.209815583333326,0.016119838801611983,1.0,-21.978893333333325,-15.920633333333324,0.12548874511254887,1.0,6.999930000699993e-05,1.0
p1_threshold,2,142.25198666666668,126.03659999999999,-16.215386666666664,-20.67316641666666,-11.83219916666666,9.99990000099999e-06,1.0,0.012963425810214113,0.0024243939015246184,940.0666666666667,192.56666666666666,-19.958646249999997,-12.79293058333334,0.016029839701602985,1.0,-18.984433333333325,-13.625626666666665,0.12415875841241587,1.0,6.999930000699993e-05,1.0
p1_threshold,5,147.95350999999997,836.0574,688.1038900000001,673.1394242499999,703.8019246666668,1.0,9.99990000099999e-06,0.014446388402899274,0.19375989335999327,845.6666666666666,699.9666666666667,680.2591415833334,700.5161705000002,1.0,0.014929850701492985,684.0290633333334,697.8317233333335,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05
p1_threshold,10,150.60737000000003,1115.6943,965.0869299999998,942.4592296666667,986.1597795833333,1.0,9.99990000099999e-06,0.01516287594767975,0.26728317920519873,877.9333333333333,443.3666666666667,956.3204961666664,984.0605476666665,1.0,0.015629843701562986,961.9941699999998,978.7184315000001,0.8760412395876042,0.12396876031239687,1.0,6.999930000699993e-05
p1_threshold,20,157.8822633333333,1285.5416999999995,1127.6594366666666,1101.0077599166666,1153.1636385,1.0,9.99990000099999e-06,0.01701241356327585,0.31217195701074735,811.3666666666667,280.3666666666667,1117.3134169166667,1150.233375583333,1.0,9.99990000099999e-06,1125.0885799999999,1144.6386491666665,1.0,0.12584874151258488,1.0,6.999930000699993e-05
p1_threshold,50,161.19653,1427.8559999999998,1266.6594699999998,1238.827801,1293.0775552499995,1.0,9.99990000099999e-06,0.017770557360659835,0.348804465550279,705.9333333333333,141.0,1253.9743808333333,1290.0127459166663,1.0,0.016069839301606985,1262.9450318333331,1285.68231,0.8749712502874971,0.12503874961250389,1.0,6.999930000699993e-05
p1_hpa_v2,0,204.0891,172.53150000000002,-31.557599999999972,-36.47463524999998,-27.044720999999964,9.99990000099999e-06,1.0,0.031808714488044655,0.00021661251353828216,1506.1333333333334,36.56666666666667,-36.921385583333304,-28.2621743333333,0.015729842701572985,1.0,-35.24032999999997,-27.963382833333302,0.12579874201257987,0.8742112578874212,6.999930000699993e-05,1.0
p1_hpa_v2,1,138.01702666666668,173.05049999999994,35.03347333333336,29.51195208333336,40.28869100000002,1.0,9.99990000099999e-06,0.012288594518037156,0.00021661251353828216,1064.0666666666666,36.5,30.820770583333356,39.94239741666668,1.0,0.015689843101568984,31.486428833333356,39.92536183333336,1.0,0.12554874451255488,1.0,6.999930000699993e-05
p1_hpa_v2,2,142.25198666666668,173.27700000000002,31.02501333333336,25.51645858333336,36.25516483333336,1.0,9.99990000099999e-06,0.012963425810214113,0.00021661251353828216,940.0666666666667,36.3,27.883073583333353,34.96359133333335,1.0,9.99990000099999e-06,28.084286666666685,35.03647666666669,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05
