method,curve,comparator,magnitude,status,deep_rm_mean_slowdown,comparator_mean_slowdown,delta_comparator_minus_deeprm,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,holm_less_curve,holm_greater_curve,reason
deeprm,p2_tail,Tetris*,1.75,complete,44.44747655806561,121.47093326696121,77.0234567088956,67.47210186022555,86.96585803259377,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.75,complete,44.44747655806561,79.06299437009915,34.61551781203354,28.327411832751416,40.91816513921729,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,Tetris*,1.5,complete,49.750894084451225,141.53792446034336,91.78703037589214,79.84660937344361,104.56894092451876,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.5,complete,49.750894084451225,94.16182578305433,44.4109316986031,37.26892987638247,51.75816501639622,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,Tetris*,1.3,complete,53.22409918789011,164.16935891030155,110.94525972241144,97.24189667923393,125.06377743544539,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.3,complete,53.22409918789011,109.73038418035148,56.50628499246139,47.69446325580194,65.62546460727123,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,Tetris*,1.1,complete,61.239159766936965,190.556114050143,129.31695428320603,114.43165079415145,145.56394683527077,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.1,complete,61.239159766936965,127.65127493521149,66.41211516827458,56.793406865333125,76.88179511277364,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p3_fgsm,Tetris*,0.0,complete,35.55272326839827,59.80496425518927,24.252240986790984,22.344741892760023,26.23957631986069,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.0,complete,35.55272326839827,40.53326714396715,4.980543875568878,3.0972222172965944,6.869790466894216,0.999990000099999,1.999980000199998e-05,1.0,7.999920000799993e-05,
deeprm,p3_fgsm,Tetris*,0.01,complete,35.47174694749695,59.80496425518927,24.333217307692316,22.395166294053173,26.234188231282605,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.01,complete,35.47174694749695,40.53326714396715,5.061520196470196,3.060895728785101,7.094187757589634,0.999970000299997,3.999960000399996e-05,1.0,0.00011999880001199988,
deeprm,p3_fgsm,Tetris*,0.02,complete,35.08260242812742,59.80496425518927,24.722361827061828,22.638115738636365,26.843264281135532,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.02,complete,35.08260242812742,40.53326714396715,5.450664715839718,3.7945997968004233,7.113833916361415,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,Tetris*,0.05,complete,36.23603820901321,59.80496425518927,23.568926046176045,21.71552176864802,25.36330493444056,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.05,complete,36.23603820901321,40.53326714396715,4.297228934953935,2.398944501748252,6.245841680472304,0.999910000899991,9.99990000099999e-05,1.0,0.0001999980000199998,
deeprm,p3_fgsm,Tetris*,0.1,complete,38.823775413475424,59.80496425518927,20.98118884171384,18.949175166292036,23.03314395104895,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.1,complete,38.823775413475424,40.53326714396715,1.7094917304917312,-0.25478584068708915,3.6324281474081443,0.948720512794872,0.05128948710512895,1.0,0.05128948710512895,
deeprm,p3_fgsm,Tetris*,0.2,noncompletion,,59.80496425518927,,,,,,,,adversarial policy episode exceeded max_steps=100000
deeprm,p3_fgsm,SJF,0.2,noncompletion,,40.53326714396715,,,,,,,,adversarial policy episode exceeded max_steps=100000
