lag,deep_rm_mean,tetris_mean,delta_tetris_minus_deeprm,ci_low,ci_high,locked_delta,tetris_first_fit_fallback_allocate_fraction,deep_rm_first_fit_fallback_allocate_fraction
0,35.19243374958375,59.80496425518927,24.612530505605502,22.472090223734597,26.698689935828057,24.612530505605502,0.0,0.0
1,35.54756842046842,83.85842866300365,48.310860242535234,46.29501221639474,50.434633266733265,47.27500701798201,0.029427072907074508,0.007007169184657135
2,35.86062338217338,92.50855876068377,56.647935378510375,54.14871874167499,59.2133816779748,67.71934022644024,0.061156271366709716,0.012555871596911825
5,37.80557216394717,99.7670900765901,61.96151791264292,59.407099205516715,64.45766190774503,112.1322234737485,0.1033175355450237,0.038577010076084724
10,42.31413099123098,113.93141665556666,71.61728566433567,67.68581607059608,75.69376438374125,195.71579296259296,0.12152553329023917,0.06795281395920373
20,49.00714837384837,117.20624636474639,68.19909799089798,64.10318214431402,71.98264353174604,342.86535093240093,0.14096247300215983,0.11463179512972044
