cell,label,srtf_mean_jct,learn_mean_jct,delta_mean,delta_ci_low,delta_ci_high,srtf_beats_decima,decima_beats_srtf
clean,Clean,207879.99502487565,62917.386235489226,144962.60878938637,117354.05462271978,172082.70089137641,False,True
p1_lag_lambda_1_0,P1 lag lambda=1.0,3177705.0354139535,1404196.7284270555,1773508.3069868984,1731337.5820884977,1815829.3654049125,False,True
p2_tail_w_0_5,P2 tail w=0.5,540361.3326699835,131686.99004975124,408674.34262023214,368357.53714344936,447916.5366334991,False,True
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,208334.51857379766,62836.05240464346,145498.4661691542,116860.27177446103,174462.4520854063,False,True
