method,curve,comparator,magnitude,status,deep_rm_mean_slowdown,comparator_mean_slowdown,delta_comparator_minus_deeprm,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,holm_less_curve,holm_greater_curve,reason
deeprm,p1_lag,SJF,50,complete,308.035882978133,1460.5788078699077,1152.5429248917746,1115.444733215604,1190.240692954684,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p2_tail,SourceTetris,2.5,complete,39.93307181245289,92.93771879926035,53.004646986807465,46.75616100696073,59.65859297906216,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,2.5,complete,39.93307181245289,58.06701319219417,18.133941379741284,13.488197805682297,23.045112244485406,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SourceTetris,2.0,complete,42.44986530027714,110.24828804690343,67.79842274662627,59.841038681820315,75.68932679441573,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,2.0,complete,42.44986530027714,69.92695534706026,27.477090046783093,22.507219691916724,33.02992923623955,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SourceTetris,1.75,complete,44.975045306168404,126.67494944130746,81.69990413513906,71.711015595165,92.01830669026974,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.75,complete,44.975045306168404,79.06299437009915,34.08794906393075,27.833593186798225,40.511787746965425,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SourceTetris,1.5,complete,49.12776415233779,148.49148359785406,99.3637194455163,86.52288155434572,113.1706911296371,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.5,complete,49.12776415233779,94.16182578305433,45.034061630716536,37.50462843944907,52.458408837469435,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SourceTetris,1.3,complete,54.10178538718004,171.67686676581854,117.57508137863853,103.64708294877416,132.91714436113594,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.3,complete,54.10178538718004,109.73038418035148,55.62859879317148,47.13662276824925,64.4189601831459,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SourceTetris,1.1,complete,60.514446078469504,200.57371324825422,140.0592671697847,124.2806622061673,156.81292228381974,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,1.1,complete,60.514446078469504,127.65127493521149,67.13682885674203,57.86664672260694,76.97790315879882,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p3_fgsm,SourceTetris,0.0,complete,35.280629009879014,63.891736027861036,28.611107017982018,26.5164932791514,30.612011829836828,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.0,complete,35.280629009879014,40.53326714396715,5.252638134088133,3.6768376645576644,6.906804156052275,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SourceTetris,0.01,complete,35.5764113941614,63.891736027861036,28.31532463369963,26.323395947316566,30.401702186979684,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.01,complete,35.5764113941614,40.53326714396715,4.956855749805749,3.3946652673715167,6.604470408064157,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SourceTetris,0.02,complete,36.09111703851704,63.891736027861036,27.800618989343988,25.94213420253358,29.719139878108003,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.02,complete,36.09111703851704,40.53326714396715,4.442150105450106,2.621030544178045,6.3006472510822515,0.999970000299997,3.999960000399996e-05,1.0,0.00011999880001199988,
deeprm,p3_fgsm,SourceTetris,0.05,complete,36.010859426684426,63.891736027861036,27.88087660117661,25.940056870837502,29.81882168255356,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.05,complete,36.010859426684426,40.53326714396715,4.522407717282719,2.7646132788739033,6.301557589146964,0.999960000399996,4.999950000499995e-05,1.0,0.00011999880001199988,
deeprm,p3_fgsm,SourceTetris,0.1,complete,38.45344887889889,63.891736027861036,25.438287148962143,23.561427969738588,27.43590817932068,1.0,9.99990000099999e-06,1.0,4.9999500004999955e-05,
deeprm,p3_fgsm,SJF,0.1,complete,38.45344887889889,40.53326714396715,2.0798182650682646,0.4395927460733721,3.7769966674991657,0.9887201127988721,0.011289887101128989,1.0,0.011289887101128989,
deeprm,p3_fgsm,SourceTetris,0.2,noncompletion,,63.891736027861036,,,,,,,,adversarial policy episode exceeded max_steps=100000
deeprm,p3_fgsm,SJF,0.2,noncompletion,,40.53326714396715,,,,,,,,adversarial policy episode exceeded max_steps=100000
