M,seed_index,clean_deep_rm_slowdown,clean_source_tetris_slowdown,p3_deep_rm_slowdown,p3_source_tetris_slowdown,deg_M,delta_clean_source_minus_deeprm,delta_p3_source_minus_deeprm
10,0,47.37118906093906,67.58478554778554,44.76786804861805,67.58478554778554,-2.603321012321011,20.213596486846484,22.816917499167495
10,1,40.70935972360973,65.87566017316017,42.36240426240426,65.87566017316017,1.653044538794532,25.16630044955044,23.51325591075591
10,2,42.9004781052281,68.60868548118547,46.71973643023642,68.60868548118547,3.8192583250083203,25.70820737595737,21.88894905094905
10,3,44.664503912753915,60.091639360639356,47.02043006993007,60.091639360639356,2.3559261571761567,15.42713544788544,13.071209290709284
10,4,34.05547027972028,50.30752006327007,28.786874125874125,50.30752006327007,-5.268596153846158,16.252049783549786,21.520645937395944
10,5,37.55395054945055,68.39299558774559,37.120757409257415,68.39299558774559,-0.4331931401931328,30.83904503829504,31.272238178488173
10,6,20.360305944055945,41.80478238428238,18.264359057609056,41.80478238428238,-2.095946886446889,21.44447644022644,23.540423326673327
10,7,45.512217698967696,63.603686230436224,42.47719164169164,63.603686230436224,-3.035026057276056,18.09146853146853,21.126494588744585
10,8,22.191571595071597,51.02312021312022,26.979132867132872,51.02312021312022,4.787561272061275,28.831548618048625,24.04398734598735
10,9,39.91872877122877,69.56870895770895,42.72231035631035,69.56870895770895,2.803581585081581,29.649980186480178,26.846398601398597
10,10,24.720416833166833,54.173575674325676,21.743052863802863,54.173575674325676,-2.977363969363971,29.453158841158842,32.43052281052282
10,11,15.155430236430236,30.063120546120544,20.36619821844822,30.063120546120544,5.210767982017982,14.907690309690308,9.696922327672326
10,12,39.77572902097902,62.57283183483184,34.760264735264734,62.57283183483184,-5.0154642857142875,22.797102813852817,27.812567099567104
10,13,47.55750915750916,71.1335347985348,44.86503296703297,71.1335347985348,-2.6924761904761922,23.576025641025637,26.26850183150183
10,14,31.805784632034634,53.86914735264736,33.21196986346986,53.86914735264736,1.4061852314352272,22.063362720612727,20.6571774891775
10,15,30.871732517482524,59.147081085581085,32.69799617049617,59.147081085581085,1.826263653013644,28.27534856809856,26.449084915084917
10,16,36.67203388278388,62.71488636363637,40.791036796536794,62.71488636363637,4.119002913752915,26.04285248085249,21.923849567099573
10,17,17.794311854811852,42.495925407925405,18.4741476023976,42.495925407925405,0.6798357475857486,24.701613553113553,24.021777805527805
10,18,56.5962644022644,85.88719713619713,58.396299284049284,85.88719713619713,1.8000348817848817,29.290932733932728,27.490897852147846
10,19,32.481126373626374,54.433687312687304,33.25079220779221,54.433687312687304,0.7696658341658349,21.95256093906093,21.182895104895096
10,20,51.83238819513819,72.6759850982351,47.83472635697636,72.6759850982351,-3.9976618381618323,20.84359690309691,24.84125874125874
10,21,27.679599067599064,51.71534299034299,29.600267149517148,51.71534299034299,1.920668081918084,24.035743922743926,22.115075840825842
10,22,54.39017574092574,80.75323792873793,54.04053746253746,80.75323792873793,-0.34963827838828365,26.36306218781219,26.712700466200474
10,23,42.822308857808856,59.731751831501825,41.56650732600733,59.731751831501825,-1.2558015318015237,16.90944297369297,18.165244505494492
10,24,37.81579212454212,61.345469447219436,39.861090825840826,61.345469447219436,2.045298701298705,23.529677322677315,21.48437862137861
10,25,20.991091158841158,47.03315767565768,22.500390775890775,47.03315767565768,1.5092996170496171,26.04206651681652,24.5327668997669
10,26,12.187011488511489,31.510836746586747,13.15332176157176,31.510836746586747,0.9663102730602713,19.32382525807526,18.357514985014987
10,27,39.65242932067932,74.31861671661673,40.680915168165164,74.31861671661673,1.0284858474858467,34.66618739593741,33.63770154845157
10,28,36.429593406593405,74.75043514818516,45.20542307692308,74.75043514818516,8.775829670329678,38.32084174159176,29.54501207126208
10,29,34.113194139194135,56.961522560772565,36.86011138861139,56.961522560772565,2.746917249417251,22.84832842157843,20.10141117216118
3,0,86.05198834498835,85.40433616383616,80.68003613053612,85.40433616383616,-5.371952214452222,-0.647652181152182,4.72430003330004
3,1,83.99755044955046,90.57454736929738,85.83733141858141,90.57454736929738,1.8397809690309543,6.576996919746918,4.737215950715964
3,2,83.28311355311354,92.87115093240092,83.38438478188478,92.87115093240092,0.10127122877123895,9.588037379287385,9.486766150516146
3,3,82.8808623043623,80.7076913086913,76.37244472194472,80.7076913086913,-6.508417582417579,-2.1731709956710006,4.335246586746578
3,4,65.79674592074592,75.03397127872127,61.45969696969698,75.03397127872127,-4.337048951048942,9.237225357975348,13.57427430902429
3,5,89.57109781884782,107.39021786546786,89.74954836829838,107.39021786546786,0.1784505494505595,17.819120046620043,17.640669497169483
3,6,48.16904004329004,62.371732933732936,43.58983075258075,62.371732933732936,-4.5792092907092865,14.202692890442897,18.781902181152184
