cell,churn_variant,churn_weight,w_sla,w_resource,w_churn,rossi_mean_score,threshold_mean_score,delta_threshold_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,rossi_wins,threshold_wins,holm_less_than_zero_within_cell_variant,holm_greater_than_zero_within_cell_variant
p1_lag_k10,adaptation_nonnoop,0.2,0.7272727272727274,0.07272727272727272,0.2,257.61646060606057,1281.0578181818187,1023.4413575757577,999.6206242424244,1048.674921818182,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,adaptation_nonnoop,0.3,0.6363636363636364,0.06363636363636364,0.3,310.9810696969697,1358.1047575757577,1047.123687878788,1020.767920909091,1074.6518224242425,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,source_vertical,0.01,0.9,0.09,0.01,150.60737000000003,1115.6942999999999,965.0869299999998,942.3161526666667,986.3204264166667,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,source_vertical,0.05,0.8636363636363636,0.08636363636363635,0.05,149.48788030303024,1070.6157424242422,921.127862121212,898.5224168560605,941.5840600000002,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,source_vertical,0.1,0.8181818181818182,0.08181818181818182,0.1,148.08851818181816,1014.2675454545457,866.1790272727271,844.9457822727272,885.7450056060604,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,source_vertical,0.2,0.7272727272727274,0.07272727272727272,0.2,145.28979393939395,901.5711515151517,756.2813575757577,737.1207006060608,774.178650909091,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,source_vertical,0.3,0.6363636363636364,0.06363636363636364,0.3,142.4910696969697,788.8747575757575,646.3836878787878,629.5143534848484,663.0386381818179,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,action_change,0.01,0.9,0.09,0.01,158.1577033333333,1120.1279666666667,961.9702633333332,939.0759551666666,983.6433655833332,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,action_change,0.05,0.8636363636363636,0.08636363636363635,0.05,187.239546969697,1092.784075757576,905.544528787879,884.2727750378789,926.3973897348486,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,action_change,0.1,0.8181818181818182,0.08181818181818182,0.1,223.59185151515152,1058.6042121212122,835.0123606060606,814.6683481060604,855.6243417424243,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,action_change,0.2,0.7272727272727274,0.07272727272727272,0.2,296.2964606060606,990.2444848484851,693.9480242424244,673.0409527272727,715.9064036363637,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,action_change,0.3,0.6363636363636364,0.06363636363636364,0.3,369.0010696969697,921.8847575757577,552.8836878787879,528.7103345454545,577.2557940909089,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
