scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
srtf,9,10000009,201,3711,-678.8345600000008,337728.6368159204,47347.0,2029093.0,337728.63681592076,6075202.0,7.5049073696136475
learn,9,10000009,201,5882,-184.57721999999993,91829.46268656716,47394.0,327891.0,91829.46268656713,5018459.0,75.1031322479248
srtf,10,10000010,201,3654,-732.9092299999999,364631.4577114428,42117.0,2991566.0,364631.4577114427,6309019.0,8.598329782485962
learn,10,10000010,201,5683,-153.80626000000035,76520.52736318408,53224.0,232712.0,76520.52736318426,4566712.0,73.31449055671692
srtf,11,10000011,201,3610,-299.7489300000009,149128.8208955224,45695.0,549137.0,149128.82089552283,5530285.0,4.471884489059448
learn,11,10000011,201,5455,-113.02632000000015,56232.0,38353.0,144417.0,56232.00000000007,5406362.0,65.63988709449768
srtf,12,10000012,201,3641,-388.7247800000014,193395.41293532337,47532.0,1084612.0,193395.41293532404,5662371.0,5.0614988803863525
learn,12,10000012,201,5632,-118.40742999999993,58909.16915422885,40861.0,170224.0,58909.16915422882,5128456.0,69.71624755859375
srtf,13,10000013,201,3737,-585.0348000000002,291062.0895522388,39392.0,2300266.0,291062.08955223893,5956903.0,6.61225152015686
learn,13,10000013,201,5774,-132.90924999999982,66124.00497512438,43971.0,184385.0,66124.00497512429,4907856.0,72.95207071304321
srtf,14,10000014,201,3718,-228.4685399999995,113665.94029850746,38053.0,337144.0,113665.94029850722,5272807.0,4.050652265548706
learn,14,10000014,201,5404,-105.23800000000011,52357.21393034826,32559.0,136173.0,52357.21393034831,5224266.0,65.19437336921692
srtf,15,10000015,201,3762,-332.5846099999998,165464.98009950249,43608.0,858071.0,165464.9800995024,5988086.0,5.151240348815918
learn,15,10000015,201,5937,-139.7591100000001,69531.89552238806,46340.0,215060.0,69531.89552238812,5091334.0,75.13681435585022
srtf,16,10000016,201,3735,-251.9008799999996,125323.82089552238,36702.0,450270.0,125323.82089552218,5419631.0,4.888704299926758
