cell,label,delta,exp,learn_mean_jct,seed,srtf_mean_jct
p1_lag_lambda_1_0,P1 lag lambda=1.0,1749227.1105104373,11,1243344.204735152,10000011,2992571.3152455892
p1_lag_lambda_1_0,P1 lag lambda=1.0,1811959.3752287324,12,1438631.134394106,10000012,3250590.5096228383
p1_lag_lambda_1_0,P1 lag lambda=1.0,1671062.579220296,13,1396432.292439857,10000013,3067494.871660153
p1_lag_lambda_1_0,P1 lag lambda=1.0,1810207.9753405773,14,1202876.7776017534,10000014,3013084.7529423307
p1_lag_lambda_1_0,P1 lag lambda=1.0,1698943.78575495,15,1293195.6416070175,10000015,2992139.4273619675
p1_lag_lambda_1_0,P1 lag lambda=1.0,1725143.4204383516,16,1294628.9603082212,10000016,3019772.3807465727
p1_lag_lambda_1_0,P1 lag lambda=1.0,1579021.8532061863,17,1353951.5461221912,10000017,2932973.3993283776
p1_lag_lambda_1_0,P1 lag lambda=1.0,1679856.8256719012,18,1494952.2733120325,10000018,3174809.0989839337
p1_lag_lambda_1_0,P1 lag lambda=1.0,1765162.6246531713,19,1610781.9300875715,10000019,3375944.554740743
p1_lag_lambda_1_0,P1 lag lambda=1.0,1701600.622870572,20,1283973.6560047385,10000020,2985574.2788753104
p1_lag_lambda_1_0,P1 lag lambda=1.0,1719471.077001849,21,1299204.8008646194,10000021,3018675.8778664684
p1_lag_lambda_1_0,P1 lag lambda=1.0,1988742.7063419442,22,1687466.256189193,10000022,3676208.9625311373
p1_lag_lambda_1_0,P1 lag lambda=1.0,1879154.3846288049,23,1332900.197888142,10000023,3212054.582516947
p1_lag_lambda_1_0,P1 lag lambda=1.0,1971632.9635316632,24,1776212.1024242463,10000024,3747845.0659559094
p1_lag_lambda_1_0,P1 lag lambda=1.0,1849435.7623571202,25,1292177.124968475,10000025,3141612.887325595
p1_lag_lambda_1_0,P1 lag lambda=1.0,1922720.9236782494,26,1507566.7461562993,10000026,3430287.6698345486
p1_lag_lambda_1_0,P1 lag lambda=1.0,1800698.7926897986,27,1252835.8700743516,10000027,3053534.66276415
p1_lag_lambda_1_0,P1 lag lambda=1.0,1911569.3329387708,28,1628722.2455613893,10000028,3540291.57850016
p1_lag_lambda_1_0,P1 lag lambda=1.0,1875298.9836809938,29,1262511.3255791506,10000029,3137810.3092601444
p2_tail_w_0_5,P2 tail w=0.5,341160.1194029851,0,99043.12437810945,10000000,440203.24378109456
p2_tail_w_0_5,P2 tail w=0.5,434510.60199004976,1,124854.31840796019,10000001,559364.9203980099
p2_tail_w_0_5,P2 tail w=0.5,183192.7910447761,2,83868.59203980099,10000002,267061.3830845771
p2_tail_w_0_5,P2 tail w=0.5,368789.96517412935,3,97149.46766169154,10000003,465939.4328358209
p2_tail_w_0_5,P2 tail w=0.5,452655.1243781094,4,141163.58706467663,10000004,593818.711442786
p2_tail_w_0_5,P2 tail w=0.5,217927.97014925373,5,84299.85074626865,10000005,302227.82089552237
p2_tail_w_0_5,P2 tail w=0.5,261169.22885572142,6,89841.93034825871,10000006,351011.1592039801
p2_tail_w_0_5,P2 tail w=0.5,509396.7213930348,7,215749.85572139305,10000007,725146.5771144278
p2_tail_w_0_5,P2 tail w=0.5,220400.2985074627,8,96592.73631840796,10000008,316993.03482587065
p2_tail_w_0_5,P2 tail w=0.5,283681.78109452734,9,97029.21890547263,10000009,380711.0
p2_tail_w_0_5,P2 tail w=0.5,472018.1194029851,10,186476.9751243781,10000010,658495.0945273632
p2_tail_w_0_5,P2 tail w=0.5,360963.67661691544,11,121136.01492537314,10000011,482099.6915422886
p2_tail_w_0_5,P2 tail w=0.5,624697.8208955224,12,269468.9303482587,10000012,894166.7512437811
p2_tail_w_0_5,P2 tail w=0.5,529714.9552238807,13,171992.53233830846,10000013,701707.4875621891
p2_tail_w_0_5,P2 tail w=0.5,419777.01492537314,14,136718.71641791044,10000014,556495.7313432836
p2_tail_w_0_5,P2 tail w=0.5,299686.8606965174,15,142923.01990049751,10000015,442609.8805970149
p2_tail_w_0_5,P2 tail w=0.5,412914.75621890544,16,109481.00995024876,10000016,522395.7661691542
p2_tail_w_0_5,P2 tail w=0.5,518422.7412935323,17,168275.0696517413,10000017,686697.8109452736
p2_tail_w_0_5,P2 tail w=0.5,391153.40796019905,18,98787.29850746269,10000018,489940.7064676617
p2_tail_w_0_5,P2 tail w=0.5,546084.3134328359,19,113009.87562189055,10000019,659094.1890547264
p2_tail_w_0_5,P2 tail w=0.5,430981.0646766169,20,114086.75621890547,10000020,545067.8208955224
p2_tail_w_0_5,P2 tail w=0.5,409666.26865671645,21,101364.34328358209,10000021,511030.6119402985
p2_tail_w_0_5,P2 tail w=0.5,507303.0248756219,22,146894.89054726367,10000022,654197.9154228856
p2_tail_w_0_5,P2 tail w=0.5,371044.8308457711,23,112867.11940298507,10000023,483911.9502487562
p2_tail_w_0_5,P2 tail w=0.5,484255.631840796,24,198359.06467661692,10000024,682614.6965174129
p2_tail_w_0_5,P2 tail w=0.5,266365.815920398,25,113287.55223880598,10000025,379653.36815920396
p2_tail_w_0_5,P2 tail w=0.5,352221.46766169154,26,111229.42288557214,10000026,463450.89054726367
p2_tail_w_0_5,P2 tail w=0.5,550318.0,27,108724.04975124379,10000027,659042.0497512438
p2_tail_w_0_5,P2 tail w=0.5,503923.42786069645,28,158888.1542288557,10000028,662811.5820895522
p2_tail_w_0_5,P2 tail w=0.5,535832.4776119402,29,137046.223880597,10000029,672878.7014925373
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,152942.65174129355,0,74261.10447761194,10000000,227203.75621890547
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,48782.11940298508,1,52302.54228855721,10000001,101084.6616915423
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,220455.26368159207,2,79447.96019900497,10000002,299903.22388059704
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,23955.442786069652,3,45259.54726368159,10000003,69214.99004975124
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,112078.4527363184,4,48132.72139303482,10000004,160211.17412935322
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,287644.8308457711,5,79400.51741293533,10000005,367045.34825870645
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,127090.63681592041,6,51521.47263681592,10000006,178612.10945273633
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,182241.9751243781,7,63193.94029850746,10000007,245435.91542288556
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,35991.1592039801,8,47269.248756218905,10000008,83260.40796019901
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,245899.17412935325,9,91829.46268656716,10000009,337728.6368159204
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,288110.9303482587,10,76520.52736318408,10000010,364631.4577114428
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,92896.8208955224,11,56232.0,10000011,149128.8208955224
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,134486.24378109453,12,58909.16915422885,10000012,193395.41293532337
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,224938.08457711444,13,66124.00497512438,10000013,291062.0895522388
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,61308.726368159194,14,52357.21393034826,10000014,113665.94029850746
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,95933.08457711442,15,69531.89552238806,10000015,165464.98009950249
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,76595.11940298506,16,48728.701492537315,10000016,125323.82089552238
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,98699.28358208954,17,57056.89054726368,10000017,155756.17412935322
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,216269.00995024876,18,68909.35820895522,10000018,285178.36815920396
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,212683.41791044778,19,63143.76616915423,10000019,275827.184079602
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,75822.58706467661,20,51929.02487562189,10000020,127751.6119402985
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,105441.07960199003,21,67325.30348258707,10000021,172766.3830845771
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,244676.97014925376,22,78026.21393034825,10000022,322703.184079602
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,81583.6119402985,23,50558.10945273632,10000023,132141.72139303482
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,261138.5771144278,24,76083.17910447762,10000024,337221.75621890544
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,63429.238805970155,25,44487.069651741294,10000025,107916.30845771145
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,170631.9054726368,26,76400.39303482587,10000026,247032.2985074627
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,114945.76616915422,27,50419.36815920398,10000027,165365.1343283582
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,231957.8507462687,28,77006.82587064676,10000028,308964.67661691544
p3_fgsm_epsilon_0_05,P3 FGSM epsilon=0.05,76323.97014925373,29,62714.03980099502,10000029,139038.00995024876
